BJD,JD,V,V_error
2457605.20947298,2457605.20832,18.015,0.088141931
2457605.20977296,2457605.20862,18.104,0.0891403388
2457605.21008293,2457605.20893,18.074,0.0931343116
2457605.2103829,2457605.20923,18.199,0.106117859
2457605.21068288,2457605.20953,18.253,0.1161077086
2457605.21099285,2457605.20984,18.298,0.122102416
2457605.21128282,2457605.21013,18.127,0.1051189802
2457605.2115828,2457605.21043,17.837,0.0791580697
2457605.21188277,2457605.21073,18.438,0.1400892573
2457605.21370261,2457605.21255,18.279,0.1361322886
2457605.21400259,2457605.21285,18.252,0.1171067889
2457605.21432256,2457605.21317,18.226,0.0870919055
2457605.21462253,2457605.21347,18.156,0.0880908622
2457605.21492251,2457605.21377,18.009,0.0721110255
2457605.21555245,2457605.2144,18.201,0.0850940656
2457605.21645237,2457605.2153,18.274,0.0930859818
2457605.21675234,2457605.2156,18.029,0.0761051904
2457605.21705232,2457605.2159,17.963,0.0691158448
2457605.21736229,2457605.21621,18.03,0.0741080293
2457605.21827221,2457605.21712,18.032,0.0751065909
2457605.21918213,2457605.21803,18.156,0.0880908622
2457605.21948211,2457605.21833,18.123,0.0890898423
2457605.21978208,2457605.21863,18.111,0.0910878697
2457605.22007205,2457605.21892,18.054,0.0841486779
2457605.22817134,2457605.22702,18.283,0.1321362933
2457605.23026116,2457605.22911,17.908,0.0711125868
2457605.23057113,2457605.22942,18.153,0.0890898423
2457605.2308711,2457605.22972,17.924,0.0681175455
2457605.23220099,2457605.23105,17.993,0.0811541743
2457605.23250096,2457605.23135,18.027,0.0840951842
2457605.23280093,2457605.23165,18.029,0.0821522976
2457605.23311091,2457605.23196,17.792,0.0731710325
2457605.23341088,2457605.23226,18.032,0.0801560977
2457605.23370086,2457605.23255,17.869,0.0801560977
2457605.23400083,2457605.23285,17.806,0.0701783442
2457605.23595066,2457605.2348,17.838,0.088141931
2457605.23625063,2457605.2351,17.898,0.0851469318
2457605.2365506,2457605.2354,17.542,0.0652763357
2457605.24477988,2457605.24363,18.013,0.0871435597
2457605.24980944,2457605.24866,17.772,0.0851469318
2457605.25010941,2457605.24896,17.85,0.0921954446
2457605.25042938,2457605.24928,18.028,0.1071680923
2457605.25072936,2457605.24958,17.758,0.0892020179
2457605.2525292,2457605.25138,18.191,0.147122398
2457605.25284917,2457605.2517,18.003,0.1271927671
2457605.25314914,2457605.252,17.821,0.1142147101
2457605.25425905,2457605.25311,17.963,0.1291897829
2457605.25484899,2457605.2537,18.123,0.164195006
2457605.25575891,2457605.25461,18.374,0.2311384866
2457605.25605889,2457605.25491,18.274,0.220184014
2457605.25635886,2457605.25521,17.944,0.1732339459
2457605.25664883,2457605.2555,18.014,0.1782806776
2457605.25694881,2457605.2558,18.317,0.2751817581
2457605.25726878,2457605.25612,18.194,0.2712231554
2457605.25756875,2457605.25642,18.546,0.3751919509
2457605.25968857,2457605.25854,18.332,0.1461232357
2457605.25998854,2457605.25884,17.819,0.0842140131
2457605.26027852,2457605.25913,18.139,0.1201499064
2457605.26057849,2457605.25943,18.258,0.1331352696
2457605.26087846,2457605.25973,18.055,0.1171537451
2457605.26118843,2457605.26004,17.981,0.1091650127
2457605.26149841,2457605.26035,18.304,0.1481215717
2457605.26360822,2457605.26246,17.902,0.1132166066
2457605.26419817,2457605.26305,18.325,0.177138364
2457605.26449814,2457605.26335,18.119,0.1601530518
2457605.26542806,2457605.26428,17.979,0.1391761474
2457605.26572804,2457605.26458,17.864,0.127251719
2457605.26601801,2457605.26487,18.062,0.1441700385
2457605.26631798,2457605.26517,18.14,0.172185946
2457605.26692793,2457605.26578,18.122,0.1901683465
2457605.2695377,2457605.26839,18.294,0.3242221461
2457605.27525719,2457605.27411,18.256,0.0890898423
2457605.27737701,2457605.27623,17.947,0.0711125868
2457605.27767698,2457605.27653,18.567,0.1260634761
2457605.27999678,2457605.27885,18.029,0.0771038261
2457605.28029675,2457605.27915,18.196,0.0930859818
