BJD,JD,V,V_error
2457209.893986,2457209.89321,13.066,0.02
2457206.807976,2457206.8072,12.942,0.02
2457210.811256,2457210.81048,13.198,0.02
2457431.027499,2457431.02673,15.915,0.02
2457944.853292,2457944.85252,15.645,0.02
2457433.024519,2457433.02375,15.797,0.02
2457209.891086,2457209.89031,15.716,0.02
2457206.876436,2457206.87566,15.559,0.02
2457940.812662,2457940.81189,12.87,0.02
2457210.798776,2457210.798,15.785,0.02
2458232.890731,2458232.88996,13.696,0.02185
2457844.901022,2457844.90025,16.447,0.02185
2457609.782835,2457609.78207,13.614,0.02188
2456486.814908,2456486.81412,13.61,0.02188
2457440.019838,2457440.01907,13.582,0.02192
2457549.910116,2457549.90935,13.55,0.02197
2457442.065928,2457442.06516,13.818,0.02199
2457138.855696,2457138.85493,16.731,0.02237
2458232.959741,2458232.95897,16.172,0.02251
2458233.993871,2458233.9931,16.775,0.02255
2458159.171671,2458159.1709,16.781,0.02258
2457215.822806,2457215.82203,16.118,0.02279
2457844.967902,2457844.96713,14.08,0.023
2456821.959798,2456821.95902,16.866,0.02301
2457549.936786,2457549.93602,16.08,0.02302
2457431.035339,2457431.03457,13.292,0.02305
2457913.833442,2457913.83267,16.878,0.02308
2457438.113668,2457438.1129,16.063,0.02314
2457949.848912,2457949.84814,16.058,0.02317
2458308.884693,2458308.88392,13.268,0.02321
2457148.977796,2457148.97703,17.008,0.02397
2456400.973559,2456400.97277,14.228,0.024
2457205.894496,2457205.89372,17.018,0.02405
2457203.857605,2457203.85684,17.03,0.02414
2457177.977615,2457177.97685,17.087,0.02463
2457078.044428,2457078.04366,17.106,0.0248
2457888.048342,2457888.04757,17.326,0.02721
2456797.021258,2456797.02048,17.352,0.02755
2458233.851011,2458233.85024,14.574,0.02763
2457968.756242,2457968.75547,17.369,0.02778
2457178.874945,2457178.87418,17.473,0.02928
2457535.982307,2457535.98154,17.479,0.02937
2457498.907777,2457498.90701,14.706,0.02954
2458231.951041,2458231.95027,14.71,0.0296
2457221.848276,2457221.8475,17.496,0.02963
2456829.861338,2456829.86056,17.501,0.02971
2457414.092019,2457414.09125,17.517,0.02997
2457459.977388,2457459.97662,17.528,0.03015
2458326.809873,2458326.8091,17.531,0.0302
2457191.895505,2457191.89474,17.531,0.0302
2458206.944241,2458206.94347,17.541,0.03036
2457043.106769,2457043.106,17.543,0.0304
2457983.742351,2457983.74158,17.55,0.03051
2458207.917021,2458207.91625,17.552,0.03055
2457135.941007,2457135.94024,17.562,0.03072
2457847.014142,2457847.01337,17.562,0.03072
2457041.108149,2457041.10738,17.566,0.03079
2457251.748424,2457251.74765,17.571,0.03087
2457098.943897,2457098.94313,17.573,0.03091
2457980.753061,2457980.75229,17.577,0.03098
2457452.088168,2457452.0874,17.582,0.03106
2456824.938278,2456824.9375,17.584,0.0311
2457188.876505,2457188.87574,17.584,0.0311
2457039.10944,2457039.10867,17.584,0.0311
2458285.919473,2458285.9187,17.585,0.03112
2457244.789695,2457244.78892,17.587,0.03115
2457245.775595,2457245.77482,17.589,0.03119
2457130.940037,2457130.93927,17.59,0.0312
2457180.968615,2457180.96785,17.591,0.03122
2456827.863518,2456827.86274,17.592,0.03124
2457976.764321,2457976.76355,17.592,0.03124
2457900.951982,2457900.95121,17.592,0.03124
2457226.829275,2457226.8285,17.593,0.03126
2457547.955517,2457547.95475,17.593,0.03126
2458318.802673,2458318.8019,17.594,0.03127
2456863.809666,2456863.80889,17.596,0.03131
2457111.986257,2457111.98549,17.596,0.03131
2458281.881743,2458281.88097,17.598,0.03135
2457504.841897,2457504.84113,17.598,0.03135
2457481.025027,2457481.02426,17.6,0.03138
2457461.075758,2457461.07499,17.601,0.0314
2456801.904998,2456801.90422,17.602,0.03142
2457907.859872,2457907.8591,17.603,0.03144
2457097.026577,2457097.02581,17.604,0.03145
2456868.796136,2456868.79536,17.607,0.03151
2458252.966042,2458252.96527,17.607,0.03151
2457101.078807,2457101.07804,17.611,0.03158
2458251.865822,2458251.86505,17.612,0.0316
2457960.814262,2457960.81349,17.613,0.03161
2457542.942777,2457542.94201,17.615,0.03165
2457975.763841,2457975.76307,17.619,0.03172
2456783.936459,2456783.93568,17.621,0.03176
2458296.900463,2458296.89969,17.622,0.03178
2456888.745335,2456888.74456,17.624,0.03182
2457483.931167,2457483.9304,17.624,0.03182
2457074.050778,2457074.05001,17.625,0.03183
2457168.875686,2457168.87492,17.625,0.03183
2458121.140721,2458121.13995,17.626,0.03185
2457045.103959,2457045.10319,17.627,0.03187
2458122.134371,2458122.1336,17.628,0.03189
2457790.100663,2457790.09989,17.63,0.03193
2457973.772811,2457973.77204,17.632,0.03196
