Phase,BJD,JD,V,V_error
0,2457608.53339114,2457608.52802,16.898,0.0316227766
0.012000502708058,2457608.53411117,2457608.52874,16.932,0.0336154726
0.024167665590843,2457608.5348412,2457608.52947,16.956,0.0319061123
0.02983467032512,2457608.53518122,2457608.52981,17.031,0.0336154726
0.035834832427402,2457608.53554123,2457608.53017,17.031,0.0362353419
0.041835165272156,2457608.53590125,2457608.53053,17.027,0.0367151195
0.04783533513546,2457608.53626126,2457608.53089,16.993,0.0349857114
0.053835667980214,2457608.53662128,2457608.53125,16.957,0.0355105618
0.060169165953994,2457608.53700129,2457608.53163,16.88,0.0346698716
0.066502834670246,2457608.53738131,2457608.53201,16.921,0.0360555128
0.072503004533549,2457608.53774132,2457608.53237,16.944,0.0380788655
0.078336669442554,2457608.53809134,2457608.53272,16.96,0.0368917335
0.084503499480585,2457608.53846135,2457608.53309,17.055,0.0411825206
0.090503832325339,2457608.53882137,2457608.53345,17.041,0.0403112887
0.096504002188643,2457608.53918138,2457608.53381,16.942,0.0385875628
0.102504335033397,2457608.5395414,2457608.53417,16.819,0.0408044115
0.114671497916182,2457608.54027143,2457608.5349,16.897,0.0408166633
0.126838668559988,2457608.54100146,2457608.53563,17.04,0.0454862617
0.132672170487543,2457608.54135147,2457608.53598,17.023,0.0523545605
0.138672503332297,2457608.54171149,2457608.53634,16.918,0.0507740091
0.144672665434579,2457608.5420715,2457608.5367,16.971,0.0521536192
0.150672998279333,2457608.54243152,2457608.53706,17.034,0.0547083175
0.168840331025422,2457608.54352156,2457608.53815,16.983,0.0547083175
0.175007331805925,2457608.54389158,2457608.53852,17.019,0.0514781507
0.18734117038548,2457608.54463161,2457608.53926,16.922,0.0368917335
0.193341332487762,2457608.54499162,2457608.53962,16.938,0.0324499615
0.199341665332516,2457608.54535164,2457608.53998,16.868,0.0338378486
0.20534183519582,2457608.54571165,2457608.54034,16.988,0.0363593179
0.211508835976322,2457608.54608167,2457608.54071,16.943,0.0399624824
0.217342337903877,2457608.54643168,2457608.54106,16.98,0.0435660418
0.223342670748631,2457608.5467917,2457608.54142,17.016,0.0404969135
0.229176164915164,2457608.54714171,2457608.54177,16.978,0.0457930126
0.235176497759918,2457608.54750173,2457608.54213,16.966,0.0355105618
0.24151000349472,2457608.54788174,2457608.54251,16.93,0.0404969135
0.247510336339474,2457608.54824176,2457608.54287,16.99,0.0394461658
0.253510498441756,2457608.54860177,2457608.54323,16.91,0.0366196668
0.259677499222259,2457608.54897179,2457608.5436,16.895,0.0410487515
0.265677669085562,2457608.5493318,2457608.54396,16.94,0.0408166633
0.271844669866065,2457608.54970182,2457608.54433,16.919,0.0418807832
