BJD,V,V_error
2457999.29636193,12.4475,0.019739074108
2457999.29693443,12.4585,0.0195636199846
2457999.29749943,12.46725,0.019357501905
2457999.29805944,12.42925,0.0202330366154
2457999.29862694,12.4575,0.0197678030016
2457999.29919945,12.445,0.0197114765774
2457999.29975945,12.428,0.0204635584737
2457999.30032445,12.44675,0.0191628084474
2457999.30089196,12.44475,0.0199454923959
2457999.30145446,12.425,0.019300537646
2457999.30202196,12.4235,0.0193617082931
2457999.30259197,12.46275,0.0195402061075
2457999.30316447,12.41425,0.0195106865002
2457999.30372697,12.48375,0.0182517945569
2457999.30429448,12.45975,0.0194762467415
2457999.30486198,12.444,0.0186051369629
2457999.30542448,12.42675,0.0184275894547
2457999.30599449,12.43325,0.0187773040024
2457999.30681699,12.3815,0.0232876440794
2457999.308227,12.37875,0.029752180566
2457999.30911951,12.38575,0.0202378610777
2457999.30969201,12.36025,0.0206413237408
2457999.31025452,12.38975,0.0192480294145
2457999.31082202,12.34225,0.0196503939659
2457999.31138702,12.31125,0.0194828148452
2457999.31195703,12.33,0.0196533807789
2457999.31252703,12.31875,0.0193035667228
2457999.31309954,12.31475,0.0186152582608
2457999.31365704,12.28975,0.0194761179964
2457999.31422454,12.285,0.0189506671503
2457999.31479205,12.34775,0.0182521246727
2457999.31535455,12.2645,0.019300537646
2457999.31592205,12.29775,0.0184272624823
2457999.31649206,12.286,0.0193133577688
2457999.31706456,12.265,0.0191262618496
2457999.31762206,12.29925,0.0189638550346
2457999.31818957,12.3205,0.0182552948195
2457999.31875957,12.28,0.0182553074499
2457999.31932457,12.27975,0.0187768389698
2457999.31988708,12.32425,0.0184272624823
2457999.32056208,12.3095,0.0184342111981
2457999.32116209,12.28925,0.0191264024174
2457999.32172459,12.25825,0.0198266055126
2457999.32229459,12.32225,0.0186012308543
2457999.3228596,12.319,0.018796809444
2457999.3234296,12.3165,0.0191264024174
2457999.3239996,12.313,0.0187833437357
2457999.32456711,12.35525,0.0186045127589
2457999.32526711,12.32925,0.0186051369629
2457999.32583462,12.34975,0.0187771365653
2457999.32640212,12.29375,0.0196533807789
2457999.32696212,12.3485,0.0184278933997
2457999.32752963,12.3155,0.0193047090774
2457999.32809963,12.32675,0.0186012308543
2457999.32866213,12.358,0.0186045127589
2457999.32922464,12.3825,0.0182657929598
2457999.32979714,12.37425,0.0182553074499
2457999.33035964,12.34825,0.0186048131108
2457999.33092965,12.37875,0.0182553074499
2457999.33149715,12.33975,0.0200553723153
2457999.33206465,12.39675,0.0177289064469
2457999.33262466,12.3665,0.0180849142699
2457999.33318966,12.3955,0.018282690402
2457999.33375967,12.405,0.0180989132668
2457999.33431967,12.40625,0.0182551362714
