BJD,V
2458428.62298196,16.4693333333333
2458428.62298196,16.5546666666667
2458429.66761633,16.8533333333333
2458429.71509972,16.5333333333333
2458429.71509972,17.12
2458430.66476733,16.5866666666667
2458430.66476733,16.7573333333333
2458430.66476733,16.8746666666667
2458431.61443495,16.5333333333333
2458432.61158594,16.704
2458432.70655271,16.896
2458434.7008547,16.4906666666667
2458434.7008547,16.8746666666667
2458434.7008547,17.0666666666667
2458436.64767331,11.584
2458437.40740741,11.5733333333333
2458437.73979107,11.6266666666667
2458438.30959164,11.68
2458438.64197531,11.7013333333333
2458439.30674264,11.7546666666667
2458439.59164293,11.776
2458440.58879392,11.904
2458441.58594492,11.9786666666667
2458442.6305793,12.0853333333333
2458443.62773029,12.384
2458444.38746439,12.9386666666667
2458444.62488129,13.12
2458444.62488129,13.1733333333333
2458445.62203229,14.0053333333333
2458445.62203229,14.048
2458446.38176638,14.496
2458446.61918329,14.624
2458446.61918329,14.6666666666667
2458446.61918329,14.752
2458447.28395062,15.1466666666667
2458447.42640076,15.2213333333333
2458447.61633428,15.168
2458447.61633428,15.3386666666667
2458447.66381766,15.232
2458448.61348528,12.736
2458449.61063628,11.9893333333333
2458449.61063628,12.0533333333333
2458451.60493827,12.096
2458452.50712251,12.352
2458452.55460589,12.2346666666667
2458452.60208927,12.16
2458452.74453941,12.3093333333333
2458452.83950617,12.352
2458452.98195632,12.448
2458453.0294397,12.5226666666667
2458453.07692308,12.4266666666667
2458453.12440646,12.3306666666667
2458453.12440646,12.2773333333333
2458453.17188984,12.2453333333333
2458453.31433998,12.192
2458453.36182336,12.2666666666667
2458453.59924027,12.3413333333333
2458453.59924027,12.4053333333333
2458453.59924027,12.4906666666667
2458453.69420703,12.288
2458454.45394112,12.64
2458454.5014245,12.5653333333333
2458454.59639126,12.32
2458454.59639126,12.48
2458454.97625831,12.576
2458455.07122507,12.6613333333333
2458455.4985755,12.7146666666667
2458455.59354226,12.3946666666667
2458455.59354226,12.576
2458455.64102564,12.672
2458456.54320988,12.8213333333333
2458456.59069326,12.5866666666667
2458456.59069326,12.7146666666667
2458456.59069326,12.6613333333333
2458457.44539411,12.928
2458457.49287749,12.864
2458457.68281102,12.6933333333333
2458457.68281102,12.7893333333333
2458457.92022792,12.864
2458458.06267806,12.96
2458458.58499525,12.8533333333333
2458458.9648623,13.1626666666667
2458459.01234568,12.992
2458459.01234568,13.088
2458459.58214625,12.9386666666667
2458459.62962963,13.1306666666667
2458459.62962963,13.024
2458460.57929725,12.8853333333333
2458460.57929725,12.9706666666667
2458460.57929725,13.056
2458460.57929725,13.1733333333333
2458461.52896486,12.8746666666667
2458461.57644824,12.928
2458461.57644824,13.0026666666667
2458461.62393162,12.7786666666667
2458462.57359924,12.864
2458462.57359924,12.9386666666667
2458462.62108262,13.0453333333333
2458462.95346629,13.1306666666667
2458462.95346629,13.056
2458462.95346629,12.9813333333333
2458463.42830009,12.864
2458463.42830009,12.896
2458463.47578348,12.96
2458463.52326686,13.0026666666667
2458463.61823362,13.088
2458463.99810066,13.056
2458464.23551757,13.024
2458464.33048433,13.1093333333333
2458464.47293447,12.9706666666667
2458464.52041785,13.024
2458464.52041785,13.0773333333333
2458464.61538461,13.1946666666667
2458464.99525166,13.1626666666667
2458465.28015195,13.152
2458465.28015195,13.344
2458465.37511871,13.2053333333333
2458465.56505223,13.376
2458465.61253561,13.3013333333333
2458465.61253561,13.472
2458466.27730294,14.0373333333333
2458466.56220323,14.336
2458466.56220323,14.3893333333333
2458466.60968661,14.4746666666667
2458467.55935423,15.68
2458467.55935423,15.7226666666667
2458467.55935423,15.8506666666667
2458467.60683761,15.5413333333333
2458468.27160494,15.84
2458468.31908832,16.0106666666667
2458468.31908832,15.424
2458468.31908832,15.8933333333333
2458468.3665717,15.4773333333333
2458468.3665717,15.584
2458468.41405508,15.68
2458468.41405508,15.7226666666667
2458468.50902184,16
2458468.6039886,15.7866666666667
2458469.31623932,15.3813333333333
2458469.31623932,15.8826666666667
2458469.31623932,16.032
2458469.41120608,15.5626666666667
2458469.41120608,15.7226666666667
2458469.55365622,15.8613333333333
2458469.6011396,15.6586666666667
2458469.6011396,16.0426666666667
2458470.55080722,15.9146666666667
2458470.5982906,15.488
2458470.5982906,16.032
2458470.64577398,15.7866666666667
2458471.59544159,16.0213333333333
2458472.49762583,16.1173333333333
2458472.54510921,15.84
2458472.54510921,15.9786666666667
2458472.59259259,16.2133333333333
2458472.59259259,16.032
2458473.54226021,16.2346666666667
2458473.58974359,16.16
2458473.58974359,16.352
2458474.53941121,16.32
2458474.53941121,16.5013333333333
2458474.58689459,16.448
2458475.58404558,16.3413333333333
2458475.58404558,16.4693333333333
2458475.58404558,16.5013333333333
2458476.5337132,15.8613333333333
2458476.5337132,16.0426666666667
2458476.58119658,15.968
2458476.58119658,16.128
2458476.58119658,16.3093333333333
2458477.57834758,16.256
2458477.57834758,16.4373333333333
2458477.57834758,16.544
2458478.57549858,16.4373333333333
2458478.57549858,16.416
2458478.62298196,16.288
2458479.57264957,16.3733333333333
2458479.57264957,16.3413333333333
2458480.61728395,16.48
2458480.61728395,16.416
2458483.56125356,16.2666666666667
2458488.59449193,16.7146666666667
