Phase,BJD,V,V_error
0.319657502075643,2457998.31257059,12.481,0.026
0.337391001483411,2457998.3136346,12.467,0.026
0.377708002304644,2457998.31605362,12.457,0.024
0.395074832253158,2457998.31709563,12.46,0.023
0.412241668440402,2457998.31812564,12.458,0.024
0.429608498389825,2457998.31916765,12.441,0.024
0.44715850396733,2457998.32022065,12.41,0.023
0.464708664765567,2457998.32127366,12.401,0.023
0.482275503998608,2457998.32232767,12.393,0.022
0.499825664795935,2457998.32338068,12.359,0.023
0.517575834877789,2457998.32444569,12.341,0.022
0.535126003436744,2457998.3254987,12.327,0.022
0.553059504367411,2457998.32657471,12.298,0.021
0.570809503707096,2457998.32763971,12.309,0.021
0.588559666028232,2457998.32870472,12.299,0.021
0.606109834587187,2457998.32975773,12.289,0.021
0.623860004669041,2457998.33082274,12.295,0.021
0.641610166989267,2457998.33188775,12.304,0.021
0.659160335548222,2457998.33294076,12.312,0.02
0.67709366573672,2457998.33401676,12.323,0.02
0.695043837341473,2457998.33509377,12.326,0.02
0.71259399813971,2457998.33614678,12.332,0.02
0.730344168221563,2457998.33721179,12.345,0.02
0.74827766915223,2457998.3382878,12.333,0.02
0.766227832995355,2457998.33936481,12.371,0.02
0.78339449844043,2457998.34039481,12.354,0.02
0.800944666999385,2457998.34144782,12.388,0.02
0.818311504709527,2457998.34248983,12.394,0.02
0.835661663984865,2457998.34353084,12.419,0.02
0.853028501695007,2457998.34457285,12.425,0.02
0.870578670253963,2457998.34562586,12.4,0.02
0.887745498679578,2457998.34665587,12.426,0.02
0.90531216717045,2457998.34770987,12.422,0.02
0.922479003357694,2457998.34873988,12.443,0.019
0.940412504288361,2457998.34981589,12.438,0.019
0.957962665086598,2457998.3508689,12.441,0.019
0.97591283669135,2457998.35194591,12.446,0.019
0.993079502135515,2457998.35297591,12.459,0.019
1.01042966917157,2457998.35401692,12.454,0.019
1.027796499121,2457998.35505893,12.478,0.019
1.04554666920285,2457998.35612394,12.451,0.019
1.0630968377618,2457998.35717695,12.461,0.019
1.08046350472978,2457998.35821895,12.464,0.019
1.09801366552711,2457998.35927196,12.48,0.019
1.11576383560896,2457998.36033697,12.472,0.018
1.13331400416791,2457998.36138998,12.469,0.018
1.15086416496615,2457998.36244299,12.461,0.018
1.16899750443827,2457998.36353099,12.489,0.018
1.1867476667594,2457998.364596,12.476,0.018
1.20469783060253,2457998.36567301,12.48,0.018
1.22283133305609,2457998.36676102,12.482,0.018
1.24038150161505,2457998.36781403,12.464,0.018
1.25831500254571,2457998.36889004,12.464,0.018
1.27606516486685,2457998.36995505,12.479,0.018
1.29419850433897,2457998.37104305,12.455,0.018
1.31233199903181,2457998.37213106,12.48,0.018
1.33046550148538,2457998.37321907,12.474,0.018
1.34763233767262,2457998.37424908,12.472,0.018
1.365949170975,2457998.37534809,12.472,0.018
1.38408250268549,2457998.37643609,12.451,0.018
1.4012660017861,2457998.3774671,12.479,0.018
1.41938283356558,2457998.37855411,12.434,0.018
1.43733299740961,2457998.37963112,12.45,0.018
1.46741650160402,2457998.38143613,12.426,0.017
1.48478333155344,2457998.38247814,12.412,0.017
1.5025335016353,2457998.38354315,12.406,0.017
1.51970016708037,2457998.38457315,12.368,0.017
1.53745033716223,2457998.38563816,12.366,0.017
1.55461716558784,2457998.38666817,12.327,0.017
1.57275066804141,2457998.38775618,12.29,0.017
1.59068416897208,2457998.38883219,12.306,0.016
1.60863416983466,2457998.38990919,12.266,0.017
1.62598433687072,2457998.3909502,12.274,0.016
1.64315116529724,2457998.39198021,12.281,0.016
1.6614846692737,2457998.39308022,12.286,0.016
1.67941817020437,2457998.39415623,12.306,0.016
1.69678483717144,2457998.39519823,12.334,0.016
1.71491833186428,2457998.39628624,12.316,0.016
1.73305183431785,2457998.39737425,12.341,0.016
1.7508020043997,2457998.39843926,12.34,0.016
1.76815217143576,2457998.39948027,12.366,0.016
1.7855188306421,2457998.40052227,12.382,0.016
1.80306899920106,2457998.40157528,12.374,0.016
1.8202358353883,2457998.40260529,12.359,0.016
1.83818599923234,2457998.4036823,12.383,0.016
1.85593599857202,2457998.4047473,12.387,0.016
1.87386949950269,2457998.40582331,12.4,0.016
1.89180300043336,2457998.40689932,12.407,0.016
1.90975316427648,2457998.40797633,12.413,0.016
1.92768666520715,2457998.40905234,12.41,0.016
1.94543666454683,2457998.41011734,12.447,0.016
1.9633701654775,2457998.41119335,12.432,0.016
1.98132033708225,2457998.41227036,12.447,0.016
1.9994538317751,2457998.41335837,12.436,0.016
2.01758733422866,2457998.41444638,12.444,0.016
2.03533733356744,2457998.41551138,12.441,0.016
2.05327083449811,2457998.41658739,12.449,0.016
2.07062100153416,2457998.4176284,12.447,0.016
2.08895449774991,2457998.41872841,12.444,0.016
2.10688799868058,2457998.41980442,12.459,0.016
2.12483799954316,2457998.42088142,12.453,0.016
2.14277150047383,2457998.42195743,12.467,0.016
2.16052167055568,2457998.42302244,12.453,0.016
2.17827183287591,2457998.42408745,12.471,0.016
2.19620517082512,2457998.42516345,12.456,0.016
2.21415533466916,2457998.42624046,12.472,0.016
2.23267216949444,2457998.42735147,12.489,0.016
2.24983899792096,2457998.42838148,12.464,0.016
2.26797233739308,2457998.42946948,12.491,0.016
2.28590583056211,2457998.43054549,12.476,0.015
2.30403933301568,2457998.4316335,12.488,0.016
2.32198950462043,2457998.43271051,12.497,0.016
2.33972283328603,2457998.43377451,12.474,0.015
2.35767300489078,2457998.43485152,12.471,0.015
2.37580649958363,2457998.43593953,12.48,0.015
2.39355666966549,2457998.43700454,12.488,0.015
2.41169016435742,2457998.43809255,12.475,0.015
2.42962350230664,2457998.43916855,12.47,0.015
2.44794033560902,2457998.44026756,12.457,0.015
2.46569049793015,2457998.44133257,12.434,0.015
2.48364066953491,2457998.44240958,12.453,0.015
2.5017740012463,2457998.44349758,12.422,0.015
2.51970750217697,2457998.44457359,12.416,0.015
2.53784100463054,2457998.4456616,12.406,0.015
2.55597449932247,2457998.44674961,12.371,0.015
2.57410783103387,2457998.44783761,12.349,0.014
2.59145799806993,2457998.44887862,12.352,0.014
2.60959150052349,2457998.44996663,12.337,0.014
2.62754166436753,2457998.45104364,12.326,0.014
2.64529167146793,2457998.45210864,12.307,0.014
2.73440899731031,2457998.45745568,12.359,0.015
2.75234249824098,2457998.45853169,12.35,0.015
2.77029249910265,2457998.45960869,12.373,0.015
2.78822600003332,2457998.4606847,12.402,0.015
2.80577616859227,2457998.46173771,12.404,0.015
2.84127633801381,2457998.46386772,12.419,0.015
2.85902650033495,2457998.46493273,12.407,0.015
2.87716000278851,2457998.46602074,12.432,0.015
2.89432683121413,2457998.46705075,12.428,0.015
2.91246017068624,2457998.46813875,12.43,0.015
2.93021033300738,2457998.46920376,12.44,0.015
2.94776050156634,2457998.47025677,12.446,0.015
2.96512716853431,2457998.47129877,12.446,0.015
2.98267733709326,2457998.47235178,12.452,0.014
3.00022749789059,2457998.47340479,12.455,0.015
3.01816099882126,2457998.4744808,12.449,0.015
3.03572766731213,2457998.4755348,12.457,0.015
3.0534611667199,2457998.47659881,12.445,0.015
3.07102799819222,2457998.47765282,12.444,0.015
3.08837800224683,2457998.47869382,12.455,0.015
3.10632816608995,2457998.47977083,12.463,0.015
3.12426166702062,2457998.48084684,12.466,0.015
3.14162850473076,2457998.48188885,12.461,0.015
3.15937850407045,2457998.48295385,12.462,0.015
3.17711200347821,2457998.48401786,12.467,0.015
3.19486216579935,2457998.48508287,12.458,0.015
3.21241217137685,2457998.48613587,12.458,0.015
3.22997900284827,2457998.48718988,12.454,0.015
3.24752917140722,2457998.48824289,12.461,0.015
3.26527917074691,2457998.48930789,12.469,0.015
3.28282933154514,2457998.4903609,12.475,0.015
3.30076283247581,2457998.49143691,12.478,0.015
3.31851300255767,2457998.49250192,12.471,0.015
3.33587966952473,2457998.49354392,12.489,0.015
3.35324649947415,2457998.49458593,12.482,0.015
3.3704133356614,2457998.49561594,12.477,0.015
3.388146664327,2457998.49667994,12.476,0.015
3.40609683593175,2457998.49775695,12.477,0.015
3.42384699825197,2457998.49882196,12.459,0.015
3.44139700382948,2457998.49987496,12.454,0.015
3.45914716615061,2457998.50093997,12.464,0.015
3.47649733318667,2457998.50198098,12.445,0.015
3.49424750326853,2457998.50304599,12.435,0.015
3.51199750260821,2457998.50411099,12.43,0.014
3.52974766492844,2457998.505176,12.41,0.014
3.54749766426812,2457998.506241,12.405,0.014
3.56504783282708,2457998.50729401,12.4,0.014
3.58279800290893,2457998.50835902,12.4,0.014
3.60034817146789,2457998.50941203,12.357,0.014
3.61771483067423,2457998.51045403,12.357,0.014
3.63526499923319,2457998.51150704,12.345,0.014
3.65301516931504,2457998.51257205,12.329,0.014
3.67056516713183,2457998.51362505,12.34,0.014
3.68811533569078,2457998.51467806,12.318,0.014
3.70624883814435,2457998.51576607,12.339,0.014
