Phase,BJD,V,V_error
0.744593504196018,2457997.31806675,12.241,0.003
0.7505936662983,2457997.31842676,12.262,0.002
0.756593665419132,2457997.31878676,12.256,0.002
0.762593664539963,2457997.31914676,12.282,0.002
0.768593834402964,2457997.31950677,12.275,0.002
0.774593833523795,2457997.31986677,12.26,0.002
0.780593832644627,2457997.32022677,12.251,0.002
0.786260666636736,2457997.32056678,12.267,0.002
0.792260665757567,2457997.32092678,12.272,0.002
0.798260664878399,2457997.32128678,12.281,0.002
0.80426066399923,2457997.32164678,12.269,0.002
0.81026083386223,2457997.32200679,12.283,0.003
0.822261002846062,2457997.3227268,12.269,0.002
0.828261001966894,2457997.3230868,12.288,0.002
0.833927665216834,2457997.3234268,12.287,0.002
0.839927835079834,2457997.32378681,12.274,0.003
0.845927834200666,2457997.32414681,12.259,0.002
0.851927833321497,2457997.32450681,12.287,0.002
0.857928003184497,2457997.32486682,12.262,0.002
0.863928002305329,2457997.32522682,12.274,0.003
0.86992800142616,2457997.32558682,12.279,0.002
0.8755946646761,2457997.32592682,12.261,0.002
0.881594834539101,2457997.32628683,12.276,0.003
0.887594833659932,2457997.32664683,12.285,0.002
0.893595003522933,2457997.32700684,12.254,0.002
0.899595002643764,2457997.32736684,12.272,0.002
0.905595001764596,2457997.32772684,12.264,0.002
0.911595163866878,2457997.32808685,12.262,0.002
0.917595170749337,2457997.32844685,12.255,0.002
0.923428501933813,2457997.32879685,12.257,0.002
0.929262003861368,2457997.32914686,12.229,0.002
0.935262002982199,2457997.32950686,12.243,0.002
0.941262002103031,2457997.32986686,12.248,0.002
0.947262164205313,2457997.33022687,12.236,0.002
0.953262171087772,2457997.33058687,12.246,0.002
0.959262170208604,2457997.33094687,12.209,0.002
0.964928833457634,2457997.33128687,12.206,0.002
0.970929003320634,2457997.33164688,12.203,0.002
0.976929002441466,2457997.33200688,12.215,0.002
0.982929164543748,2457997.33236689,12.204,0.002
0.988929171426207,2457997.33272689,12.198,0.002
0.994595834675238,2457997.33306689,12.191,0.002
1.00059600453824,2457997.3334269,12.192,0.002
1.00659600365907,2457997.3337869,12.212,0.002
1.0125960027799,2457997.3341469,12.206,0.002
1.01859600190073,2457997.3345069,12.2,0.002
1.02459616400301,2457997.33486691,12.174,0.002
1.03059617088547,2457997.33522691,12.175,0.002
1.0362628341345,2457997.33556691,12.16,0.002
1.0422630039975,2457997.33592692,12.163,0.002
1.04826300311834,2457997.33628692,12.159,0.002
1.05426300223917,2457997.33664692,12.15,0.002
1.06026316434145,2457997.33700693,12.146,0.002
1.06609650328755,2457997.33735693,12.129,0.002
1.07209650240839,2457997.33771693,12.114,0.002
1.07793000433594,2457997.33806694,12.103,0.002
1.08393000345677,2457997.33842694,12.113,0.002
1.0899300025776,2457997.33878694,12.072,0.002
1.09593016467989,2457997.33914695,12.09,0.002
1.10193017156234,2457997.33950695,12.086,0.002
1.10793017068318,2457997.33986695,12.044,0.002
1.11393033278546,2457997.34022696,12.038,0.002
1.11993033190629,2457997.34058696,12.037,0.002
1.12593033102712,2457997.34094696,12.038,0.002
1.13159716501832,2457997.34128697,12.014,0.002
1.13776383207551,2457997.34165697,12.018,0.002
1.14359717102161,2457997.34200697,12.019,0.002
1.14959733312389,2457997.34236698,12.024,0.002
1.15559733224472,2457997.34272698,12.016,0.002
1.16159733136556,2457997.34308698,12.04,0.002
1.16759750122856,2457997.34344699,12.028,0.002
1.17343083241394,2457997.34379699,12.031,0.002
1.17943083153477,2457997.34415699,12.019,0.002
1.18543100139777,2457997.344517,12.033,0.002
1.19143100051861,2457997.344877,12.037,0.002
1.19743099963944,2457997.345237,12.028,0.002
1.20343116950244,2457997.34559701,12.018,0.002
1.20926450068782,2457997.34594701,12.02,0.002
1.21509783187321,2457997.34629701,12.05,0.002
1.22109800173621,2457997.34665702,12.059,0.002
1.22709800085704,2457997.34701702,12.045,0.002
1.23309799997787,2457997.34737702,12.05,0.002
1.23893150190543,2457997.34772703,12.047,0.002
1.24493150102626,2457997.34808703,12.051,0.002
1.25093150014709,2457997.34844703,12.099,0.002
1.25676483133248,2457997.34879703,12.071,0.002
1.26276500119548,2457997.34915704,12.071,0.002
1.26876500031631,2457997.34951704,12.092,0.002
1.27476517017931,2457997.34987705,12.078,0.002
1.28076516930014,2457997.35023705,12.093,0.002
1.28676516842097,2457997.35059705,12.11,0.002
1.29276533828488,2457997.35095706,12.094,0.002
1.29876533740571,2457997.35131706,12.093,0.002
1.30459866859019,2457997.35166706,12.1,0.002
1.31043217051774,2457997.35201707,12.135,0.002
1.31643216963857,2457997.35237707,12.127,0.002
1.32243216875941,2457997.35273707,12.129,0.002
1.32843233086169,2457997.35309708,12.135,0.002
1.33443233774415,2457997.35345708,12.129,0.002
1.34043233686498,2457997.35381708,12.105,0.002
1.34626566804945,2457997.35416708,12.142,0.002
1.35209916997701,2457997.35451709,12.143,0.002
1.3582658370342,2457997.35488709,12.152,0.002
1.36426583615503,2457997.35524709,12.149,0.002
1.37026599825731,2457997.3556071,12.147,0.002
1.37626599737814,2457997.3559671,12.154,0.002
1.38209933632425,2457997.3563171,12.153,0.002
1.3879328382518,2457997.35666711,12.171,0.002
1.39393283737263,2457997.35702711,12.16,0.002
1.39993283649346,2457997.35738711,12.186,0.002
1.40593299859574,2457997.35774712,12.194,0.002
1.41176633754185,2457997.35809712,12.164,0.002
1.41793300459813,2457997.35846712,12.17,0.002
1.42376649876496,2457997.35881713,12.185,0.002
1.42959983771107,2457997.35916713,12.197,0.002
1.4355998368319,2457997.35952713,12.189,0.002
1.44159999893418,2457997.35988714,12.194,0.002
1.44759999805501,2457997.36024714,12.181,0.002
1.45360000493656,2457997.36060714,12.168,0.002
1.45960016703884,2457997.36096715,12.2,0.002
1.46560016615967,2457997.36132715,12.207,0.002
1.47160016528051,2457997.36168715,12.201,0.002
1.47743366720806,2457997.36203716,12.207,0.002
1.48326699839345,2457997.36238716,12.226,0.002
1.48926699751428,2457997.36274716,12.207,0.002
1.49526700439583,2457997.36310716,12.208,0.002
1.50126716649811,2457997.36346717,12.236,0.002
1.50726716561894,2457997.36382717,12.221,0.002
1.51326716473977,2457997.36418717,12.217,0.002
1.51910066666733,2457997.36453718,12.218,0.002
1.52510066578816,2457997.36489718,12.216,0.002
1.53110083565116,2457997.36525719,12.216,0.002
1.53710083477199,2457997.36561719,12.215,0.002
1.54393416581115,2457997.36602719,12.23,0.002
1.54993416493198,2457997.36638719,12.24,0.002
1.55576766685954,2457997.3667372,12.24,0.002
1.56176766598037,2457997.3670972,12.234,0.002
1.5677676651012,2457997.3674572,12.236,0.002
1.5737678349642,2457997.36781721,12.217,0.002
1.57976783408503,2457997.36817721,12.246,0.002
1.58560133601259,2457997.36852722,12.245,0.002
1.59160133513342,2457997.36888722,12.225,0.002
1.5974346663188,2457997.36923722,12.221,0.002
1.60343466543964,2457997.36959722,12.225,0.002
1.60943483530264,2457997.36995723,12.232,0.002
1.61543483442347,2457997.37031723,12.262,0.002
1.6214348335443,2457997.37067723,12.225,0.002
1.62726833547185,2457997.37102724,12.249,0.002
1.63326833459269,2457997.37138724,12.243,0.002
1.63910166577807,2457997.37173724,12.249,0.002
1.64510183564107,2457997.37209725,12.252,0.002
1.6511018347619,2457997.37245725,12.27,0.002
1.65710183388273,2457997.37281725,12.241,0.002
1.66293533581029,2457997.37316726,12.241,0.002
1.66893533493112,2457997.37352726,12.262,0.002
1.67493533405195,2457997.37388726,12.253,0.002
1.68076866523734,2457997.37423726,12.256,0.002
1.68676883510034,2457997.37459727,12.249,0.002
1.69276883422117,2457997.37495727,12.262,0.002
1.69876900408417,2457997.37531728,12.269,0.002
1.70460233526956,2457997.37566728,12.25,0.002
1.71060233439039,2457997.37602728,12.285,0.002
1.71660233351122,2457997.37638728,12.255,0.002
1.72243583543877,2457997.37673729,12.257,0.002
1.7284358345596,2457997.37709729,12.247,0.002
1.73443583368044,2457997.37745729,12.275,0.002
1.74043600354344,2457997.3778173,12.26,0.002
1.74643600266427,2457997.3781773,12.276,0.002
1.7524360017851,2457997.3785373,12.265,0.002
1.75843616388738,2457997.37889731,12.273,0.002
1.76410283489804,2457997.37923731,12.27,0.002
1.77010283401887,2457997.37959731,12.26,0.002
1.77610300388187,2457997.37995732,12.263,0.002
1.7821030030027,2457997.38031732,12.279,0.002
1.78810300212353,2457997.38067732,12.259,0.002
1.79410316422582,2457997.38103733,12.288,0.002
1.79993650317192,2457997.38138733,12.284,0.002
1.80576983435731,2457997.38173733,12.278,0.002
1.81177000422031,2457997.38209734,12.281,0.002
1.81777000334114,2457997.38245734,12.291,0.002
1.82377000246197,2457997.38281734,12.277,0.002
1.82977016456425,2457997.38317735,12.294,0.003
1.83577017144671,2457997.38353735,12.276,0.002
1.84160350263119,2457997.38388735,12.261,0.002
1.84743683381657,2457997.38423735,12.304,0.002
1.85343700367957,2457997.38459736,12.303,0.002
1.85943700280041,2457997.38495736,12.28,0.002
1.86543700192124,2457997.38531736,12.28,0.002
1.87143716402352,2457997.38567737,12.3,0.002
1.87743717090598,2457997.38603737,12.286,0.002
1.88327050209045,2457997.38638737,12.261,0.002
1.88910400401801,2457997.38673738,12.265,0.002
1.89510400313884,2457997.38709738,12.257,0.002
1.90110400225967,2457997.38745738,12.255,0.002
1.90710416436195,2457997.38781739,12.287,0.002
1.91293750330806,2457997.38816739,12.253,0.002
1.91893750242889,2457997.38852739,12.258,0.002
1.92493766453117,2457997.3888874,12.238,0.002
1.93077100347728,2457997.3892374,12.239,0.002
1.93677100259811,2457997.3895974,12.259,0.002
1.94277116470039,2457997.38995741,12.247,0.002
1.94860450364649,2457997.39030741,12.235,0.002
1.95460450276732,2457997.39066741,12.244,0.002
1.96060450188816,2457997.39102741,12.231,0.002
1.96660466399044,2457997.39138742,12.205,0.002
1.97243800293654,2457997.39173742,12.209,0.002
1.97843800205737,2457997.39209742,12.221,0.002
1.98427150398493,2457997.39244743,12.208,0.002
1.99027150310576,2457997.39280743,12.205,0.002
1.99627150222659,2457997.39316743,12.218,0.002
2.00227166432887,2457997.39352744,12.212,0.002
2.00827167121133,2457997.39388744,12.191,0.002
2.01410500239581,2457997.39423744,12.203,0.002
2.02010516449809,2457997.39459745,12.191,0.002
2.02593850344419,2457997.39494745,12.201,0.002
2.03193850256503,2457997.39530745,12.189,0.002
2.03793866466731,2457997.39566746,12.193,0.002
2.04393867154977,2457997.39602746,12.175,0.002
2.0499386706706,2457997.39638746,12.182,0.002
2.05577216483653,2457997.39673747,12.142,0.002
2.06760550290346,2457997.39744747,12.171,0.002
2.07360566500574,2457997.39780748,12.167,0.002
2.07960566412657,2457997.39816748,12.156,0.002
2.08560567100903,2457997.39852748,12.151,0.002
2.09160567012987,2457997.39888748,12.131,0.002
2.09727250412107,2457997.39922749,12.13,0.002
2.1032725032419,2457997.39958749,12.106,0.002
2.10927250236273,2457997.39994749,12.125,0.002
2.11527266446501,2457997.4003075,12.114,0.002
2.12127267134747,2457997.4006675,12.075,0.002
2.1272726704683,2457997.4010275,12.074,0.002
2.13327283257058,2457997.40138751,12.064,0.002
2.13910617151669,2457997.40173751,12.055,0.002
2.14493950270116,2457997.40208751,12.059,0.002
2.15093950182199,2457997.40244751,12.062,0.002
2.15693966392428,2457997.40280752,12.052,0.002
2.16293967080674,2457997.40316752,12.039,0.002
2.16893966992757,2457997.40352752,12.03,0.002
2.17493983202985,2457997.40388753,12.016,0.002
2.18077317097595,2457997.40423753,12.042,0.002
2.18677317009679,2457997.40459753,12.051,0.002
2.19260666426271,2457997.40494754,12.07,0.002
2.1987733313199,2457997.40531754,12.058,0.002
2.204606670266,2457997.40566754,12.029,0.002
2.21060683236828,2457997.40602755,12.043,0.002
2.21660683148912,2457997.40638755,12.054,0.002
2.22244017043522,2457997.40673755,12.057,0.002
2.2284403325375,2457997.40709756,12.071,0.002
2.23444033165833,2457997.40745756,12.085,0.002
2.24044033077917,2457997.40781756,12.06,0.002
2.24627366972527,2457997.40816756,12.066,0.002
2.25227383182755,2457997.40852757,12.078,0.002
2.25827383094838,2457997.40888757,12.087,0.002
2.26444049800466,2457997.40925757,12.077,0.002
2.27010733199677,2457997.40959758,12.09,0.002
2.2761073311176,2457997.40995758,12.08,0.002
2.28210733799915,2457997.41031758,12.093,0.002
2.28810750010143,2457997.41067759,12.107,0.002
2.29410749922226,2457997.41103759,12.1,0.002
2.3001074983431,2457997.41139759,12.113,0.002
2.3057743323352,2457997.4117376,12.083,0.002
2.31177433145604,2457997.4120976,12.119,0.002
2.31777433057687,2457997.4124576,12.12,0.002
2.32377433745842,2457997.4128176,12.128,0.002
2.3297744995607,2457997.41317761,12.116,0.002
2.33577449868153,2457997.41353761,12.119,0.002
2.34177449780236,2457997.41389761,12.126,0.002
2.34777466766536,2457997.41425762,12.111,0.002
2.3534413309153,2457997.41459762,12.125,0.002
2.35944133779685,2457997.41495762,12.133,0.002
2.36544149989913,2457997.41531763,12.143,0.002
2.37144149901997,2457997.41567763,12.158,0.002
2.3774414981408,2457997.41603763,12.142,0.002
2.3834416680038,2457997.41639764,12.149,0.002
2.38910833125374,2457997.41673764,12.14,0.002
2.39510833813529,2457997.41709764,12.161,0.002
2.40110833725612,2457997.41745764,12.156,0.002
2.4071084993584,2457997.41781765,12.148,0.002
2.41294183054379,2457997.41816765,12.157,0.002
2.41894183742534,2457997.41852765,12.172,0.002
2.42494199952762,2457997.41888766,12.182,0.002
2.430775330713,2457997.41923766,12.195,0.002
2.43677533759455,2457997.41959766,12.194,0.002
2.44260883176139,2457997.41994767,12.196,0.002
2.44860883088222,2457997.42030767,12.188,0.002
2.45460883776377,2457997.42066767,12.177,0.002
2.46060899986605,2457997.42102768,12.173,0.002
2.46660899898689,2457997.42138768,12.183,0.002
2.47244233793299,2457997.42173768,12.187,0.002
2.47844233705382,2457997.42209768,12.171,0.002
2.4844424991561,2457997.42245769,12.177,0.002
2.49044249827693,2457997.42281769,12.194,0.002
2.49644249739777,2457997.42317769,12.21,0.002
2.50244266726077,2457997.4235377,12.218,0.002
2.5084426663816,2457997.4238977,12.205,0.002
2.51444266550243,2457997.4242577,12.216,0.002
2.52010949949454,2457997.42459771,12.226,0.002
2.52610949861537,2457997.42495771,12.224,0.002
2.5321094977362,2457997.42531771,12.225,0.002
2.5381096675992,2457997.42567772,12.236,0.002
2.54410966672003,2457997.42603772,12.219,0.002
2.55010966584086,2457997.42639772,12.231,0.002
2.5561096649617,2457997.42675772,12.222,0.002
2.56194316688925,2457997.42710773,12.234,0.002
2.56777649807464,2457997.42745773,12.237,0.002
2.57377649719547,2457997.42781773,12.222,0.002
2.57977666705847,2457997.42817774,12.24,0.002
2.5857766661793,2457997.42853774,12.233,0.002
2.59177666530013,2457997.42889774,12.23,0.002
2.59777683516404,2457997.42925775,12.234,0.002
2.60361016634852,2457997.42960775,12.219,0.002
2.60961016546935,2457997.42996775,12.21,0.002
2.61561033533326,2457997.43032776,12.237,0.002
2.62161033445409,2457997.43068776,12.215,0.002
2.62761033357492,2457997.43104776,12.233,0.002
2.63361033269575,2457997.43140776,12.244,0.002
2.63944383462331,2457997.43175777,12.226,0.002
2.64527716580778,2457997.43210777,12.244,0.002
2.65144383286497,2457997.43247777,12.234,0.002
2.65744400272797,2457997.43283778,12.243,0.002
2.6634440018488,2457997.43319778,12.262,0.002
2.66927733303419,2457997.43354778,12.244,0.002
