BJD,JD,V,V_error
2455910.54756794,2455910.54512,14.501,0.015
2455910.55087794,2455910.54843,14.526,0.018
2455910.55418795,2455910.55174,14.53,0.016
2455910.55746795,2455910.55502,14.451,0.014
2455910.56074795,2455910.5583,14.448,0.014
2455910.56401795,2455910.56157,14.433,0.015
2455910.56729796,2455910.56485,14.407,0.013
2455910.57055796,2455910.56811,14.39,0.014
2455910.57382796,2455910.57138,14.363,0.014
2455910.57708796,2455910.57464,14.388,0.013
2455910.58037797,2455910.57793,14.424,0.014
2455910.58366797,2455910.58122,14.442,0.013
2455910.58692797,2455910.58448,14.442,0.013
2455910.59019797,2455910.58775,14.398,0.014
2455910.59348798,2455910.59104,14.404,0.013
2455910.59676798,2455910.59432,14.429,0.013
2455910.60006798,2455910.59762,14.484,0.014
2455910.60334799,2455910.6009,14.432,0.013
2455910.60663799,2455910.60419,14.442,0.014
2455910.60992799,2455910.60748,14.461,0.014
2455910.61322799,2455910.61078,14.45,0.015
2455910.616518,2455910.61407,14.506,0.015
2455910.619818,2455910.61737,14.475,0.016
2455910.623118,2455910.62067,14.488,0.016
2455910.626448,2455910.624,14.468,0.016
2455910.629338,2455910.62689,14.492,0.016
2455910.63179801,2455910.62935,14.474,0.015
2455910.63423801,2455910.63179,14.48,0.016
2455910.63675801,2455910.63431,14.467,0.016
2455910.63926801,2455910.63682,14.438,0.016
2455910.64172801,2455910.63928,14.407,0.016
2455910.64422802,2455910.64178,14.443,0.016
2455910.64673802,2455910.64429,14.423,0.015
2455910.64923802,2455910.64679,14.408,0.015
2455910.65175802,2455910.64931,14.348,0.015
2455910.65426802,2455910.65182,14.385,0.015
2455910.65677802,2455910.65433,14.361,0.016
2455910.65928803,2455910.65684,14.421,0.016
2455910.66176803,2455910.65932,14.399,0.015
2455910.66425803,2455910.66181,14.371,0.016
2455910.66672803,2455910.66428,14.403,0.016
2455910.66919803,2455910.66675,14.442,0.016
2455910.67165804,2455910.66921,14.425,0.016
2455910.67411804,2455910.67167,14.44,0.016
2455910.67655804,2455910.67411,14.434,0.017
2455910.67936804,2455910.67692,14.468,0.017
2455910.68216804,2455910.67972,14.427,0.017
2455910.68497805,2455910.68253,14.424,0.016
2455910.68780805,2455910.68536,14.478,0.02
2455910.69073805,2455910.68829,14.477,0.017
2455910.69386805,2455910.69142,14.494,0.018
2455910.69685805,2455910.69441,14.468,0.018
2455910.69991806,2455910.69747,14.462,0.016
2455910.70295806,2455910.70051,14.467,0.017
2455910.70558806,2455910.70314,14.5,0.017
2455910.70822806,2455910.70578,14.489,0.017
2455910.71045806,2455910.70801,14.489,0.016
2455910.71267807,2455910.71023,14.513,0.017
2455910.71491807,2455910.71247,14.573,0.019
2455910.71714807,2455910.7147,14.535,0.017
2455910.71938807,2455910.71694,14.487,0.017
2455910.72162807,2455910.71918,14.458,0.017
2455910.72385807,2455910.72141,14.446,0.017
2455910.72610808,2455910.72366,14.407,0.017
2455910.72833808,2455910.72589,14.434,0.017
2455910.73058808,2455910.72814,14.41,0.017
2455910.73282808,2455910.73038,14.409,0.017
2455910.73506808,2455910.73262,14.398,0.016
2455910.73730808,2455910.73486,14.411,0.016
2455910.73955808,2455910.73711,14.401,0.018
2455910.74179808,2455910.73935,14.359,0.018
2455910.74404809,2455910.7416,14.366,0.016
2455910.74628809,2455910.74384,14.401,0.017
2455910.74853809,2455910.74609,14.371,0.016
2455910.75078809,2455910.74834,14.439,0.017
2455910.75303809,2455910.75059,14.424,0.017
2455910.75528809,2455910.75284,14.429,0.016
2455910.7575381,2455910.75509,14.447,0.016
2455910.7597981,2455910.75735,14.439,0.017
2455910.7620381,2455910.75959,14.436,0.017
2455910.7642881,2455910.76184,14.412,0.018
2455910.7665481,2455910.7641,14.461,0.017
2455910.7687981,2455910.76635,14.474,0.018
2455910.7710481,2455910.7686,14.459,0.018
2455910.77331811,2455910.77087,14.475,0.018
2455910.77557811,2455910.77313,14.464,0.017
2455910.77782811,2455910.77538,14.431,0.017
2455910.78008811,2455910.77764,14.438,0.017
2455910.78235811,2455910.77991,14.445,0.018
2455910.78460812,2455910.78216,14.462,0.018
2455910.78686812,2455910.78442,14.453,0.017
2455910.78913812,2455910.78669,14.509,0.02
2455910.79140812,2455910.78896,14.495,0.019
2455910.79366812,2455910.79122,14.506,0.018
2455910.79591812,2455910.79347,14.521,0.018
2455910.79818812,2455910.79574,14.496,0.017
2455910.80044813,2455910.798,14.497,0.019
2455910.80271813,2455910.80027,14.445,0.019
2455910.80497813,2455910.80253,14.503,0.018
2455910.80723813,2455910.80479,14.499,0.018
2455910.80951813,2455910.80707,14.41,0.017
2455910.81178813,2455910.80934,14.44,0.021
2455910.81405813,2455910.81161,14.485,0.022
2455910.81633814,2455910.81389,14.454,0.019
2455910.81861814,2455910.81617,14.42,0.016
2455910.82088814,2455910.81844,14.417,0.019
2455910.82315814,2455910.82071,14.38,0.016
2455910.82543814,2455910.82299,14.397,0.017
2455910.82771814,2455910.82527,14.43,0.019
2455910.82999814,2455910.82755,14.48,0.018
2455910.83227815,2455910.82983,14.441,0.018
2455910.83456815,2455910.83212,14.435,0.02
2455910.83685815,2455910.83441,14.496,0.019
2455910.83913815,2455910.83669,14.479,0.019
2455910.84142815,2455910.83898,14.434,0.018
2455910.84371815,2455910.84127,14.509,0.02
2455910.84600815,2455910.84356,14.48,0.019
2455910.84827816,2455910.84583,14.483,0.02
2455910.85057816,2455910.84813,14.523,0.021
2455910.85285816,2455910.85041,14.522,0.02
2455910.85514816,2455910.8527,14.526,0.024
2455910.85742816,2455910.85498,14.495,0.022
2455910.85971816,2455910.85727,14.535,0.02
2455910.86200816,2455910.85956,14.5,0.023
2455911.55082847,2455911.54838,14.843,0.015
2455911.61194849,2455911.6095,14.966,0.017
2455911.61413849,2455911.61169,14.962,0.016
2455911.61632849,2455911.61388,14.944,0.014
2455911.61850849,2455911.61606,14.926,0.015
2455911.62070849,2455911.61826,14.953,0.016
2455911.62313849,2455911.62069,14.934,0.014
2455911.62555849,2455911.62311,14.93,0.015
2455911.62960849,2455911.62716,14.938,0.016
2455911.63203849,2455911.62959,14.9,0.015
2455911.63452849,2455911.63208,14.917,0.015
2455911.6369985,2455911.63455,14.868,0.014
