BJD,JD,V,V_error
2453713.99629171,2453713.99387,16.98,0.13
2453714.00448174,2453714.00206,17.29,0.15
2453714.01270177,2453714.01028,17.09,0.14
2453714.0209118,2453714.01849,17.12,0.14
2453734.1437448,2453734.14136,17.25,0.18
2453734.15376473,2453734.15138,17.13,0.17
2453734.16370467,2453734.16132,17.33,0.18
2453734.17363461,2453734.17125,17.11,0.17
2453688.16474722,2453688.16258,17.26,0.18
2453688.17343736,2453688.17127,17.6,0.21
2453688.18217751,2453688.18001,17.24,0.18
2453688.19088765,2453688.18872,17.44,0.2
2453644.24135905,2453644.24022,17.77,0.27
2453644.25021931,2453644.24908,17.76,0.27
2453644.25919957,2453644.25806,17.21,0.2
2453644.26798982,2453644.26685,17.43,0.22
2453833.90449392,2453833.90443,13.33,0.06
2453833.91591362,2453833.91585,13.28,0.06
2453833.92730332,2453833.92724,13.1,0.05
2453833.93871302,2453833.93865,13.27,0.06
2453957.25291619,2453957.25321,17.1,0.17
2453957.26155638,2453957.26185,17.05,0.16
2453957.27014658,2453957.27044,16.64,0.13
2453957.27880678,2453957.2791,17.07,0.16
2454078.1706824,2454078.16825,17.09,0.18
2454078.17850244,2454078.17607,17.08,0.18
2454078.18627247,2454078.18384,17.08,0.18
2454078.19405251,2454078.19162,17.08,0.18
2453745.99568749,2453745.99341,16.38,0.13
2453745.99994744,2453745.99767,16.61,0.14
2453746.00420739,2453746.00193,16.33,0.12
2453746.00845734,2453746.00618,16.22,0.12
2453763.0725124,2453763.07052,16.92,0.16
2453763.07731231,2453763.07532,16.73,0.15
2453763.08211221,2453763.08012,17.02,0.17
2453763.08688212,2453763.08489,16.95,0.16
2453817.95411636,2453817.9536,16.89,0.13
2453817.96152615,2453817.96101,16.8,0.13
2453817.96890594,2453817.96839,16.61,0.12
2453817.97628573,2453817.97577,16.65,0.12
2453859.88918121,2453859.88973,16.78,0.13
2453859.89563109,2453859.89618,17.05,0.15
2453859.90210097,2453859.90265,16.81,0.13
2453859.90855085,2453859.9091,16.83,0.14
2454057.14112818,2454057.13889,14.35,0.07
2454057.14646825,2454057.14423,14.31,0.07
2454057.15180833,2454057.14957,14.34,0.07
2454057.15708841,2454057.15485,14.34,0.07
2454004.24508283,2454004.24408,17.07,0.16
2454004.25387309,2454004.25287,17.15,0.16
2454004.26278335,2454004.26178,17.16,0.17
2454004.27184362,2454004.27084,17.17,0.17
2454210.87167538,2454210.87191,16.58,0.12
2454210.88152515,2454210.88176,16.64,0.12
2454210.89136492,2454210.8916,16.8,0.13
2454210.90123469,2454210.90147,16.63,0.12
2454447.16371464,2454447.16127,16.5,0.12
2454447.17308466,2454447.17064,16.33,0.11
2454447.18194469,2454447.1795,16.56,0.12
2454447.19092471,2454447.18848,16.7,0.13
2454466.11689923,2454466.11451,17.15,0.14
2454466.12926914,2454466.12688,17.29,0.15
2454466.14158906,2454466.1392,17.37,0.15
2454466.15388897,2454466.1515,17.46,0.16
2454151.96571512,2454151.96429,16.59,0.14
2454151.97109497,2454151.96967,16.51,0.14
2454151.97648483,2454151.97506,16.23,0.51
2454154.00923901,2454154.00787,16.83,0.13
2454154.01661882,2454154.01525,16.79,0.13
2454154.02399862,2454154.02263,16.82,0.13
2454154.03140842,2454154.03004,16.66,0.12
2454109.18997614,2454109.18767,16.37,0.11
2454109.19821605,2454109.19591,16.85,0.13
2454109.20645596,2454109.20415,16.74,0.13
2454109.21475587,2454109.21245,16.46,0.11
2454184.94509804,2454184.94463,16.97,0.14
2454184.95607773,2454184.95561,17.03,0.14
2454184.96702742,2454184.96656,17.18,0.22
2454186.93402021,2454186.93361,16.77,0.15
2454186.94279996,2454186.94239,16.5,0.13
2454186.95147972,2454186.95107,16.66,0.14
2454186.96014947,2454186.95974,16.57,0.14
2454417.2007692,2454417.19861,17.52,0.16
2454417.21330942,2454417.21115,17.49,0.16
2454417.22585963,2454417.2237,17.34,0.15
2454417.23838985,2454417.23623,17.28,0.14
2454383.17132053,2454383.16993,16.21,0.11
2454383.18028078,2454383.17889,16.2,0.11
2454383.18923103,2454383.18784,16.05,0.11
2454383.19821127,2454383.19682,16.35,0.12
2454366.15645685,2454366.15555,17.12,0.17
2454366.16709716,2454366.16619,17.14,0.17
2454366.17775747,2454366.17685,16.98,0.16
2454366.18842778,2454366.18752,16.76,0.14
2454810.10605726,2454810.10362,16.97,0.15
2454810.11616729,2454810.11373,17.16,0.16
2454810.12628733,2454810.12385,17.13,0.16
2454810.13647737,2454810.13404,17.35,0.18
2454504.06738372,2454504.06562,16.78,0.16
2454504.07539353,2454504.07363,16.84,0.17
2454504.08341335,2454504.08165,16.75,0.17
2454504.09141316,2454504.08965,16.86,0.19
2454513.05265745,2454513.05112,16.97,0.17
2454513.06463714,2454513.0631,16.89,0.16
2454513.07661683,2454513.07508,16.97,0.17
2454513.08857653,2454513.08704,17.04,0.17
2454532.01563472,2454532.01463,16.93,0.13
2454532.02391448,2454532.02291,16.98,0.13
2454532.03220424,2454532.0312,17.07,0.14
2454532.04099399,2454532.03999,16.86,0.13
2454780.15186879,2454780.14975,16.55,0.1
2454780.18977948,2454780.18766,16.88,0.11
2454780.20173969,2454780.19962,16.85,0.11
2454780.21369991,2454780.21158,16.81,0.11
2454762.09600115,2454762.09426,16.78,0.14
2454762.1063314,2454762.10459,16.71,0.13
2454762.11662165,2454762.11488,16.63,0.13
2454762.12692189,2454762.12518,16.72,0.13
2454736.20675532,2454736.20571,17.18,0.15
2454736.21702561,2454736.21598,17.37,0.16
2454736.22739592,2454736.22635,17.32,0.16
2454736.23808623,2454736.23704,17.19,0.15
2454929.91802964,2454929.91796,17.45,0.23
2454929.92606943,2454929.926,17.51,0.24
2454929.93411922,2454929.93405,17.41,0.23
2454929.94216901,2454929.9421,17.86,0.29
2454944.90183207,2454944.90214,16.91,0.12
2454944.91144186,2454944.91175,17.13,0.13
2454944.91948168,2454944.91979,17.07,0.12
2454944.9275215,2454944.92783,17.18,0.13
2455189.13585071,2455189.13341,17.09,0.15
2455189.14443068,2455189.14199,17.07,0.15
2455189.15284065,2455189.1504,16.81,0.13
2455189.16124063,2455189.1588,16.85,0.14
2454865.07246247,2454865.07059,16.8,0.11
2454865.08214226,2454865.08027,16.92,0.12
2454865.09183205,2454865.08996,16.88,0.12
2454865.10150184,2454865.09963,16.77,0.11
2454889.98738571,2454889.98616,15.85,0.09
2454889.99579548,2454889.99457,15.86,0.09
2454890.00421524,2454890.00299,15.82,0.09
2454890.01262501,2454890.0114,15.79,0.09
2454838.0479661,2454838.04563,16.89,0.11
2454838.06103597,2454838.0587,16.57,0.1
2454838.07411583,2454838.07178,16.88,0.11
2454838.0871557,2454838.08482,17.02,0.12
2454917.95533558,2454917.95493,17.33,0.14
2454917.9617754,2454917.96137,17.64,0.16
2454917.96821522,2454917.96781,17.49,0.15
2454917.97465503,2454917.97425,17.72,0.16
2454966.85222125,2454966.85295,16.66,0.13
2454966.85726118,2454966.85799,16.34,0.11
2454966.86230111,2454966.86303,16.44,0.12
2454966.86735104,2454966.86808,16.54,0.12
2455152.23198721,2455152.22975,14.21,0.06
2455152.23675728,2455152.23452,14.2,0.06
2455152.24154735,2455152.23931,14.2,0.06
2455152.24632743,2455152.24409,14.25,0.06
2455121.22404809,2455121.22245,17.41,0.13
2455121.23257832,2455121.23098,17.38,0.13
2455121.24116854,2455121.23957,17.63,0.15
2455121.24973876,2455121.24814,17.43,0.13
2455102.17223482,2455102.17116,17.39,0.14
2455102.18500519,2455102.18393,17.18,0.13
