BJD,JD,V ,V_error
2453497.51225642,2453497.5063,17.8,0.1
2453498.48995728,2453498.484,16.1,0.05
2453509.40236937,2453509.3965,18.3,0.2
2453555.64921227,2453555.6455,14.74,0.02
2453778.92563193,2453778.9243,17.79,0.16
2453783.65905428,2453783.6573,17.21,0.31
2453793.88943985,2453793.8868,17.6,0.13
2453794.89072372,2453794.888,17.52,0.11
2453800.88981249,2453800.8866,13.79,0.01
2453801.61366971,2453801.6104,14.82,0.06
2453801.87769049,2453801.8744,14.92,0.02
2453802.86056734,2453802.8572,17.45,0.06
2453821.8541771,2453821.8495,17.69,0.15
2453822.84863512,2453822.8439,18.19,0.2
2453824.82834709,2453824.8235,17.63,0.19
2453827.82280724,2453827.8178,18.04,0.15
2453830.79525492,2453830.7901,17.94,0.15
2453846.75104306,2453846.7453,17.53,0.12
2453851.75895271,2453851.7531,17.89,0.14
2453854.80610113,2453854.8002,17.11,0.1
2453855.79371383,2453855.7878,18.19,0.11
2453856.74212464,2453856.7362,17.46,0.06
2453857.77333485,2453857.7674,15.33,0.06
2453883.69057033,2453883.6849,17.91,0.18
2453892.66385325,2453892.6585,17.94,0.17
2453902.62937861,2453902.6245,17.96,0.12
2453904.63426864,2453904.6295,17.51,0.13
2453907.63949522,2453907.6349,17.98,0.1
2453932.66391637,2453932.6611,13.66,0.02
2454150.64650656,2454150.6446,17.74,0.16
2454159.91000324,2454159.9073,17.71,0.18
2454160.879984,2454160.8772,18,0.18
2454168.90882796,2454168.9054,17.8,0.15
2454178.91255609,2454178.9084,18.09,0.13
2454180.86218665,2454180.8579,18.29,0.14
2454182.87911742,2454182.8747,18.2,0.12
2454183.84457843,2454183.8401,18.12,0.18
2454188.85977813,2454188.855,18.5,0.15
2454190.81758702,2454190.8127,18.11,0.17
2454210.81841209,2454210.8127,13.23,0.01
2454211.85843968,2454211.8527,13.42,0.01
2454212.85566464,2454212.8499,13.48,0.01
2454213.78628661,2454213.7805,13.49,0.01
2454223.81374181,2454223.8078,17.62,0.11
2454226.77825893,2454226.7723,17.72,0.12
2454227.43946095,2454227.4335,17.38,0.19
2454227.7641617,2454227.7582,17.53,0.08
2454229.43326305,2454229.4273,17.45,0.22
2454233.78804687,2454233.7821,17.83,0.06
2454238.80549293,2454238.7996,17.9,0.11
2454239.78077809,2454239.7749,18.28,0.11
2454240.7243624,2454240.7185,17.94,0.08
2454245.71935767,2454245.7136,17.51,0.11
2454250.71401734,2454250.7084,15.47,0.07
2454265.6582967,2454265.6533,18.03,0.1
2454266.64894551,2454266.644,17.75,0.06
2454269.64668353,2454269.6419,17.48,0.04
2454270.6709258,2454270.6662,17.28,0.18
2454273.63755201,2454273.633,17.86,0.12
2454274.63629135,2454274.6318,17.76,0.09
2454275.6518286,2454275.6474,17.97,0.1
2454536.840138,2454536.8365,17.61,0.12
2454538.82658513,2454538.8228,17.94,0.15
2454542.8328706,2454542.8288,18.23,0.16
2454554.80382327,2454554.799,17.79,0.12
2454559.78308701,2454559.778,17.97,0.12
2454563.81867739,2454563.8134,18.03,0.09
2454572.78732101,2454572.7817,18.44,0.24
2454600.7483396,2454600.7424,17.91,0.17
2454651.63261226,2454651.6289,18.19,0.12
2454652.63463926,2454652.631,17.84,0.09
2454653.63826533,2454653.6347,18.22,0.18
2454654.63799089,2454654.6345,17.81,0.18
