BJD,JD,V,V_error
2452831.788401,2452831.78764,11.958,0.025
2452833.843861,2452833.8431,12.202,0.025
2452836.766081,2452836.76532,12.615,0.032
2453180.859295,2453180.85853,11.795,0.023
2453183.837185,2453183.83642,12.252,0.028
2453186.835355,2453186.83459,12.667,0.035
2453189.841035,2453189.84027,12.963,0.032
2453542.823402,2453542.82264,12.668,0.03
2453544.843532,2453544.84277,12.997,0.029
2453869.912608,2453869.91184,12.082,0.033
2453874.926687,2453874.92592,12.672,0.028
2454388.518071,2454388.51732,13.943,0.028
2454759.60118,2454759.60044,13.099,0.033
2453544.814892,2453544.81413,12.86,0.03
2453867.921758,2453867.92099,11.836,0.032
2453871.909328,2453871.90856,12.135,0.032
2453875.901067,2453875.9003,12.802,0.032
2453875.901067,2453875.9003,12.843,0.032
2455066.730235,2455066.72949,12.98,0.049
