BJD,JD,V,V_error
2453480.97700903,2453480.97987,17.4,0.1
2453480.98090927,2453480.98377,17.36,0.1
2453480.98480952,2453480.98767,17.25,0.1
2453480.98869976,2453480.99156,17.36,0.1
2453711.60662178,2453711.60588,17.35,0.09
2453711.61360115,2453711.61286,17.42,0.09
2453711.62062051,2453711.61988,17.34,0.09
2453711.62762988,2453711.62689,17.26,0.09
2453556.79856309,2453556.7953,16.83,0.08
2453556.80501359,2453556.80175,16.84,0.08
2453556.81166411,2453556.8084,16.83,0.08
2453556.81826462,2453556.815,16.86,0.08
2453549.92160042,2453549.91888,16.24,0.07
2453549.92814096,2453549.92542,16,0.08
2453549.93467149,2453549.93195,16.15,0.07
2453549.94119202,2453549.93847,16.28,0.07
2453678.60147432,2453678.59792,17.25,0.09
2453678.60797383,2453678.60442,17.2,0.09
2453678.61454333,2453678.61099,17.53,0.1
2453678.62118283,2453678.61763,17.46,0.1
2453704.63725818,2453704.63589,17.19,0.09
2453704.64424755,2453704.64288,17.18,0.09
2453704.65152689,2453704.65016,17.31,0.09
2453704.65851626,2453704.65715,17.3,0.09
2453654.65532588,2453654.65025,17.09,0.09
2453654.66130558,2453654.65623,17.06,0.09
2453654.66729529,2453654.66222,17.08,0.09
2453654.67328499,2453654.66821,17.14,0.09
2453672.59725255,2453672.59326,17.52,0.1
2453672.60207221,2453672.59808,17.53,0.1
2453672.60706186,2453672.60307,17.41,0.09
2453672.61271147,2453672.60872,17.34,0.09
2453643.696651,2453643.69111,17.1,0.09
2453643.70367076,2453643.69813,17.02,0.09
2453643.71066051,2453643.70512,17.26,0.09
2453643.71765027,2453643.71211,17.15,0.09
2454079.61675606,2454079.61626,17.29,0.09
2454079.62246555,2454079.62197,17.5,0.13
2454079.62817503,2454079.62768,17.22,0.12
2454079.63390451,2454079.63341,17.29,0.09
2454095.56350066,2454095.56441,12.32,0.05
2454095.57319983,2454095.57411,12.31,0.05
2454095.582879,2454095.58379,12.29,0.05
2454095.59258816,2454095.5935,12.32,0.05
2453905.82638632,2453905.82444,17.26,0.21
2453905.82749642,2453905.82555,17.17,0.2
2453905.82855651,2453905.82661,17.3,0.22
2453905.8296266,2453905.82768,17.45,0.23
2453878.93410659,2453878.93449,13.53,0.05
2453878.94063715,2453878.94102,13.57,0.05
2453878.94719771,2453878.94758,13.6,0.05
2453878.95375828,2453878.95414,13.6,0.05
2453886.9041042,2453886.9038,16.65,0.08
2453886.9143351,2453886.91403,16.67,0.08
2453886.924586,2453886.92428,16.54,0.08
2453886.9347969,2453886.93449,16.57,0.08
2454054.60929908,2454054.6066,17.4,0.09
2454054.61517859,2454054.61248,17.24,0.09
2454054.6210781,2454054.61838,17.21,0.08
2454054.62693761,2454054.62424,17.37,0.09
2454062.58618678,2454062.58417,17.39,0.09
2454062.59378611,2454062.59177,17.31,0.09
2454062.60138545,2454062.59937,17.48,0.09
2454062.60898478,2454062.60697,17.37,0.09
2454028.6805049,2454028.67591,17.27,0.09
2454028.69017431,2454028.68558,17.29,0.09
2454028.69985372,2454028.69526,17.27,0.09
2454028.70953313,2454028.70494,17.31,0.09
2453989.878295,2453989.87235,17.02,0.08
2453989.88370496,2453989.87776,16.91,0.08
2453989.88911492,2453989.88317,16.92,0.08
2453989.89452488,2453989.88858,16.9,0.08
2453998.74570521,2453998.73988,17.12,0.08
2453998.75169509,2453998.74587,17.05,0.08
2453998.75768497,2453998.75186,16.92,0.08
