BJD,JD,V,V_error
2457808.38610401,2457808.38475,16.8626666667,0.0181140958
2457808.38621401,2457808.38486,16.8433333333,0.0173446006
2457808.386334,2457808.38498,16.8036666667,0.0164713215
2457808.386444,2457808.38509,16.75,0.0162517834
2457808.38656399,2457808.38521,16.7896666667,0.0171977939
2457808.38667399,2457808.38532,16.7893333333,0.0171790705
2457808.38679399,2457808.38544,16.789,0.0173446006
2457808.38691398,2457808.38556,16.756,0.0162715739
2457808.38702398,2457808.38567,16.812,0.0164266604
2457808.38714398,2457808.38579,16.806,0.0171977939
2457808.38725398,2457808.3859,16.8036666667,0.0164266604
2457808.38737397,2457808.38602,16.8213333333,0.0182544874
2457808.38749397,2457808.38614,16.871,0.0173270399
2457808.38760397,2457808.38625,16.8093333333,0.0171790705
2457808.38772396,2457808.38637,16.8443333333,0.0173270399
2457808.38783396,2457808.38648,16.7976666667,0.017142119
2457808.38795396,2457808.3866,16.7293333333,0.0172394486
2457808.38807395,2457808.38672,16.7296666667,0.0173446006
2457808.38818395,2457808.38683,16.799,0.0164081172
2457808.38830395,2457808.38695,16.777,0.0171977939
2457808.38841394,2457808.38706,16.822,0.0171613404
2457808.38853394,2457808.38718,16.8193333333,0.0182544874
2457808.38865394,2457808.3873,16.8513333333,0.0182544874
2457808.38876393,2457808.38741,16.876,0.0180972817
2457808.38888393,2457808.38753,16.8256666667,0.0172217806
2457808.38899393,2457808.38764,16.855,0.0181140958
2457808.38911392,2457808.38776,16.7753333333,0.0173631455
2457808.38922392,2457808.38787,16.788,0.0182887622
2457808.38934392,2457808.38799,16.7553333333,0.0173446006
2457808.38946391,2457808.38811,16.7456666667,0.0164266604
2457808.38957391,2457808.38822,16.629,0.0162715739
2457808.38969391,2457808.38834,16.6516666667,0.0164266604
2457808.3898039,2457808.38845,16.7123333333,0.0153336383
2457808.3899239,2457808.38857,16.7266666667,0.0164462403
2457808.3900439,2457808.38869,16.6733333333,0.0164462403
2457808.39015389,2457808.3888,16.7576666667,0.0164081172
2457808.39027389,2457808.38892,16.8093333333,0.0174044044
2457808.39038389,2457808.38903,16.7683333333,0.0164081172
2457808.39050388,2457808.38915,16.7906666667,0.0174044044
2457808.39062388,2457808.38927,16.826,0.0173270399
2457808.39073388,2457808.38938,16.8126666667,0.0171613404
2457808.39085387,2457808.3895,16.8373333333,0.0182187623
2457808.39096387,2457808.38961,16.862,0.0181318536
2457808.39108387,2457808.38973,16.8276666667,0.0172217806
2457808.39119386,2457808.38984,16.8803333333,0.0182711568
2457808.39131386,2457808.38996,16.8806666667,0.0182887622
2457808.39143386,2457808.39008,16.8866666667,0.0181140958
2457808.39154385,2457808.39019,16.8366666667,0.0182187623
2457808.39166385,2457808.39031,16.8883333333,0.0171055469
2457808.39177385,2457808.39042,16.8696666667,0.0182544874
2457808.39189384,2457808.39054,16.8656666667,0.0182711568
2457808.39201384,2457808.39066,16.7986666667,0.0173446006
2457808.39212384,2457808.39077,16.881,0.0182544874
2457808.39224383,2457808.39089,16.9056666667,0.0180612456
2457808.39235383,2457808.391,16.863,0.0181140958
2457808.39247383,2457808.39112,16.887,0.0181318536
2457808.39259382,2457808.39124,16.8753333333,0.0180972817
2457808.39270382,2457808.39135,16.948,0.0191892238
2457808.39282382,2457808.39147,16.94,0.0190397375
2457808.39293381,2457808.39158,16.979,0.0201613199
2457808.39305381,2457808.3917,16.961,0.0201302338
2457808.39317381,2457808.39182,16.8863333333,0.0191101697
2457808.3932838,2457808.39193,16.8906666667,0.01905572
2457808.3934038,2457808.39205,16.87,0.0171613404
2457808.3935138,2457808.39216,16.825,0.0172217806
2457808.39363379,2457808.39228,16.8316666667,0.0173446006
2457808.39374379,2457808.39239,16.815,0.0173270399
2457808.39386379,2457808.39251,16.723,0.0162330406
2457808.39398378,2457808.39263,16.7803333333,0.0172893984
2457808.39409378,2457808.39274,16.757,0.0173446006
2457808.39421378,2457808.39286,16.7363333333,0.0164462403
2457808.39432377,2457808.39297,16.7693333333,0.0162330406
2457808.39444377,2457808.39309,16.7983333333,0.0182711568
2457808.39456377,2457808.39321,16.8086666667,0.0164462403
2457808.39467376,2457808.39332,16.7823333333,0.0183279375
2457808.39479376,2457808.39344,16.7696666667,0.0183890637
2457808.39490376,2457808.39355,16.8023333333,0.0172394486
2457808.39502375,2457808.39367,16.792,0.0174228856
2457808.39514375,2457808.39379,16.7896666667,0.0162517834
2457808.39525375,2457808.3939,16.7913333333,0.0173826714
2457808.39537374,2457808.39402,16.762,0.0163353065
2457808.39548374,2457808.39413,16.808,0.0173446006
2457808.39560374,2457808.39425,16.8813333333,0.0192934027
2457808.39571373,2457808.39436,16.8876666667,0.0173631455
2457808.39583373,2457808.39448,16.9066666667,0.0182711568
2457808.39595373,2457808.3946,16.8886666667,0.0192591093
2457808.39606372,2457808.39471,16.9,0.0182711568
2457808.39618372,2457808.39483,16.9096666667,0.0192050819
2457808.39629372,2457808.39494,16.898,0.0181140958
2457808.39641371,2457808.39506,16.8386666667,0.0182711568
2457808.39653371,2457808.39518,16.8146666667,0.0181318536
2457808.39664371,2457808.39529,16.8516666667,0.0183073009
2457808.3967637,2457808.39541,16.8603333333,0.0173446006
2457808.3968737,2457808.39552,16.8453333333,0.0173631455
2457808.3969937,2457808.39564,16.8156666667,0.0171790705
2457808.39711369,2457808.39576,16.7386666667,0.0173446006
2457808.39722369,2457808.39587,16.793,0.0183454884
2457808.39734369,2457808.39599,16.8026666667,0.0182544874
2457808.39745368,2457808.3961,16.8806666667,0.01905572
2457808.39757368,2457808.39622,16.821,0.0173446006
2457808.39769368,2457808.39634,16.9013333333,0.0190397375
2457808.39780367,2457808.39645,16.873,0.0192050819
2457808.39792367,2457808.39657,16.889,0.0202127916
2457808.39803367,2457808.39668,16.8673333333,0.0191101697
2457808.39815366,2457808.3968,16.9663333333,0.0191892238
2457808.39826366,2457808.39691,16.9636666667,0.0191892238
2457808.39838366,2457808.39703,16.9856666667,0.0199877864
2457808.39850365,2457808.39715,17.0036666667,0.0210200437
2457808.39861365,2457808.39726,16.94,0.0211259185
2457808.39873365,2457808.39738,16.9393333333,0.0192218319
2457808.39884364,2457808.39749,16.9016666667,0.0192432958
2457808.39896364,2457808.39761,16.9056666667,0.0191892238
2457808.39908364,2457808.39773,16.959,0.0201453511
2457808.39919363,2457808.39784,16.9,0.0192218319
2457808.39931363,2457808.39796,16.9603333333,0.0201613199
2457808.39942363,2457808.39807,16.9003333333,0.0191552421
2457808.39954362,2457808.39819,16.9726666667,0.0192432958
2457808.39966362,2457808.39831,16.9646666667,0.0201453511
2457808.39977362,2457808.39842,16.943,0.0202127916
2457808.39989361,2457808.39854,16.8936666667,0.0193172893
2457808.40000361,2457808.39865,16.8713333333,0.0183279375
2457808.40012361,2457808.39877,16.8513333333,0.0183454884
2457808.4002336,2457808.39888,16.8446666667,0.0201968634
2457808.4003536,2457808.399,16.8873333333,0.0183454884
2457808.4004736,2457808.39912,16.8896666667,0.0192218319
2457808.4005836,2457808.39923,16.9046666667,0.0200709302
2457808.40070359,2457808.39935,16.9183333333,0.0193706529
2457808.40081359,2457808.39946,16.9106666667,0.0192591093
2457808.40093358,2457808.39958,16.8966666667,0.0183113198
2457808.40105358,2457808.3997,16.9286666667,0.0201817847
2457808.40116358,2457808.39981,16.816,0.0181140958
2457808.40128357,2457808.39993,16.8153333333,0.0183279375
2457808.40139357,2457808.40004,16.8453333333,0.0182544874
2457808.40151357,2457808.40016,16.882,0.0182711568
2457808.40163356,2457808.40028,16.832,0.0182887622
2457808.40174356,2457808.40039,16.796,0.0182887622
2457808.40186356,2457808.40051,16.8073333333,0.0192758124
2457808.40197355,2457808.40062,16.863,0.0183279375
2457808.40209355,2457808.40074,16.795,0.0173631455
2457808.40221355,2457808.40086,16.792,0.0172394486
2457808.40232354,2457808.40097,16.775,0.0173270399
2457808.40244354,2457808.40109,16.7836666667,0.0164462403
2457808.40255354,2457808.4012,16.8476666667,0.0182711568
2457808.40267353,2457808.40132,16.852,0.0182544874
2457808.40278353,2457808.40143,16.8703333333,0.0181140958
2457808.40290353,2457808.40155,16.8423333333,0.0173631455
2457808.40302352,2457808.40167,16.9233333333,0.0180972817
2457808.40313352,2457808.40178,16.8486666667,0.0173270399
2457808.40325352,2457808.4019,16.789,0.0174044044
2457808.40336351,2457808.40201,16.867,0.0181713672
2457808.40348351,2457808.40213,16.8746666667,0.0192050819
2457808.40360351,2457808.40225,16.8213333333,0.0182887622
2457808.4037135,2457808.40236,16.8063333333,0.0182711568
2457808.4038335,2457808.40248,16.8013333333,0.0182711568
2457808.4039435,2457808.40259,16.841,0.0182711568
2457808.40406349,2457808.40271,16.8903333333,0.0191720356
2457808.40418349,2457808.40283,16.9346666667,0.0192591093
2457808.40429349,2457808.40294,16.8906666667,0.0192050819
2457808.40441348,2457808.40306,16.8356666667,0.0192758124
2457808.40452348,2457808.40317,16.856,0.01905572
2457808.40464348,2457808.40329,16.907,0.0183113198
2457808.40475348,2457808.4034,16.8806666667,0.0181140958
2457808.40487347,2457808.40352,16.773,0.0182887622
2457808.40499347,2457808.40364,16.7076666667,0.015518865
2457808.40510346,2457808.40375,16.7626666667,0.0171977939
2457808.40522346,2457808.40387,16.767,0.0173446006
2457808.40533346,2457808.40398,16.785,0.0171613404
2457808.40545346,2457808.4041,16.8216666667,0.0173446006
2457808.40557345,2457808.40422,16.838,0.0174228856
2457808.40568345,2457808.40433,16.8466666667,0.0173270399
2457808.40580344,2457808.40445,16.8856666667,0.0192758124
2457808.40591344,2457808.40456,16.8426666667,0.0181140958
2457808.40603344,2457808.40468,16.8833333333,0.0192758124
2457808.40615343,2457808.4048,16.7956666667,0.0183454884
2457808.40626343,2457808.40491,16.8083333333,0.0183279375
2457808.40638343,2457808.40503,16.8353333333,0.0182187623
2457808.40649342,2457808.40514,16.7933333333,0.0164897936
2457808.40661342,2457808.40526,16.8196666667,0.0173869041
2457808.40673342,2457808.40538,16.8393333333,0.0192758124
2457808.40684341,2457808.40549,16.869,0.0192218319
2457808.40696341,2457808.40561,16.921,0.0190397375
2457808.40707341,2457808.40572,16.9066666667,0.0200709302
2457808.40719341,2457808.40584,16.8976666667,0.0191892238
2457808.4073034,2457808.40595,16.9076666667,0.0192591093
2457808.4074234,2457808.40607,16.9293333333,0.0201613199
2457808.40754339,2457808.40619,16.9083333333,0.0183113198
2457808.40765339,2457808.4063,16.8773333333,0.0191892238
2457808.40777339,2457808.40642,16.8636666667,0.0190397375
2457808.40788339,2457808.40653,16.8603333333,0.0181318536
2457808.40800338,2457808.40665,16.8383333333,0.0182711568
2457808.40812338,2457808.40677,16.872,0.0192591093
2457808.40823337,2457808.40688,16.8506666667,0.0183454884
2457808.40835337,2457808.407,16.82,0.0182544874
2457808.40846337,2457808.40711,16.786,0.0174044044
2457808.40858336,2457808.40723,16.789,0.0183639698
2457808.40870336,2457808.40735,16.745,0.0173826714
2457808.40881336,2457808.40746,16.7333333333,0.0162517834
2457808.40893336,2457808.40758,16.7356666667,0.0174044044
2457808.40904335,2457808.40769,16.739,0.0164897936
2457808.40916335,2457808.40781,16.7976666667,0.0182711568
2457808.40927334,2457808.40792,16.8356666667,0.0171977939
2457808.40939334,2457808.40804,16.8903333333,0.0192758124
2457808.40951334,2457808.40816,16.8723333333,0.0182544874
2457808.40962334,2457808.40827,16.8066666667,0.0182711568
2457808.40974333,2457808.40839,16.8256666667,0.0183454884
2457808.40985333,2457808.4085,16.89,0.0192218319
2457808.40997332,2457808.40862,16.8893333333,0.0192432958
2457808.41009332,2457808.40874,16.8396666667,0.0191447299
2457808.41020332,2457808.40885,16.8996666667,0.0192050819
2457808.41032331,2457808.40897,16.777,0.0182711568
2457808.41043331,2457808.40908,16.8173333333,0.0183454884
2457808.41055331,2457808.4092,16.8293333333,0.0183454884
2457808.41067331,2457808.40932,16.8203333333,0.0173446006
2457808.4107833,2457808.40943,16.792,0.0182711568
2457808.4109033,2457808.40955,16.6996666667,0.0164266604
2457808.41101329,2457808.40966,16.8213333333,0.0173631455
2457808.41113329,2457808.40978,16.8196666667,0.0192394715
2457808.41125329,2457808.4099,16.824,0.0180972817
2457808.41136329,2457808.41001,16.7446666667,0.0173869041
2457808.41148328,2457808.41013,16.7363333333,0.0174228856
2457808.41159328,2457808.41024,16.7996666667,0.0173631455
2457808.41171327,2457808.41036,16.7803333333,0.0164266604
2457808.41182327,2457808.41047,16.7296666667,0.0165092987
2457808.41194327,2457808.41059,16.742,0.0165092987
2457808.41206327,2457808.41071,16.735,0.0164266604
2457808.41217326,2457808.41082,16.684,0.0165092987
2457808.41229326,2457808.41094,16.7186666667,0.0174044044
2457808.41240326,2457808.41105,16.672,0.0153137718
2457808.41252325,2457808.41117,16.649,0.0164462403
2457808.41264325,2457808.41129,16.681,0.0173446006
2457808.41275324,2457808.4114,16.7443333333,0.0164266604
2457808.41287324,2457808.41152,16.748,0.0173446006
2457808.41298324,2457808.41163,16.7626666667,0.0164081172
2457808.41310324,2457808.41175,16.7403333333,0.0162517834
2457808.41322323,2457808.41187,16.7346666667,0.0164462403
2457808.41333323,2457808.41198,16.7036666667,0.0164897936
2457808.41345322,2457808.4121,16.6776666667,0.0164668535
2457808.41356322,2457808.41221,16.6806666667,0.0163353065
2457808.41368322,2457808.41233,16.6976666667,0.0174044044
2457808.41379322,2457808.41244,16.6286666667,0.0146450955
2457808.41391321,2457808.41256,16.6083333333,0.0155395888
2457808.41403321,2457808.41268,16.5863333333,0.0154012528
2457808.4141432,2457808.41279,16.6783333333,0.0164266604
2457808.4142632,2457808.41291,16.6833333333,0.015566131
2457808.4143732,2457808.41302,16.6866666667,0.015606311
2457808.41449319,2457808.41314,16.74,0.0165298332
2457808.41461319,2457808.41326,16.6563333333,0.0155395888
2457808.41472319,2457808.41337,16.713,0.0164897936
2457808.41484318,2457808.41349,16.741,0.0173446006
2457808.41495318,2457808.4136,16.8353333333,0.0173270399
2457808.41507318,2457808.41372,16.7516666667,0.0173446006
2457808.41519317,2457808.41384,16.767,0.0164462403
2457808.41530317,2457808.41395,16.7866666667,0.0174044044
2457808.41542317,2457808.41407,16.7216666667,0.0173446006
2457808.41553317,2457808.41418,16.7493333333,0.0173080025
2457808.41565316,2457808.4143,16.8026666667,0.0181713672
2457808.41577316,2457808.41442,16.8456666667,0.0172394486
2457808.41588316,2457808.41453,16.8793333333,0.0192591093
2457808.41600315,2457808.41465,16.8783333333,0.0183113198
2457808.41611315,2457808.41476,16.8516666667,0.0182887622
2457808.41623315,2457808.41488,16.9053333333,0.0191101697
2457808.41634314,2457808.41499,16.853,0.0192591093
2457808.41646314,2457808.41511,16.8773333333,0.0192218319
