Phase,BJD,JD,V,V_error
0.261872801,2457610.1980843,2457610.19737,13.95,0.0102956301
0.2659173242,2457610.19838427,2457610.19767,13.953,0.0102956301
0.2700968112,2457610.19869425,2457610.19798,13.948,0.0116619038
0.2741413281,2457610.19899422,2457610.19828,13.992,0.0116619038
0.2783206832,2457610.19930419,2457610.19859,13.971,0.0125299641
0.2823653383,2457610.19960417,2457610.19889,13.931,0.0130384048
0.2862750297,2457610.19989414,2457610.19918,13.968,0.0125299641
0.2903195529,2457610.20019411,2457610.19948,13.945,0.0116619038
0.2946338654,2457610.20051409,2457610.1998,13.967,0.0102956301
0.2986783886,2457610.20081406,2457610.2001,13.942,0.0089442719
0.3028577438,2457610.20112403,2457610.20041,13.933,0.0094339811
0.3070372307,2457610.20143401,2457610.20072,13.942,0.0094339811
0.3110817476,2457610.20173398,2457610.20102,13.946,0.0094339811
0.3153959346,2457610.20205395,2457610.20134,13.955,0.0094339811
0.3194404516,2457610.20235392,2457610.20164,13.946,0.0089442719
0.3234851066,2457610.2026539,2457610.20194,13.94,0.0094339811
0.327394798,2457610.20294387,2457610.20223,13.927,0.0089442719
0.3314394531,2457610.20324385,2457610.20253,13.956,0.0094339811
0.3356188082,2457610.20355382,2457610.20284,13.958,0.0089442719
0.3396633314,2457610.20385379,2457610.20314,13.933,0.0089442719
0.344112344,2457610.20418376,2457610.20347,13.939,0.0089442719
0.348156999,2457610.20448374,2457610.20377,13.934,0.0089442719
0.3522015223,2457610.20478371,2457610.20407,13.938,0.0094339811
0.3563808711,2457610.20509368,2457610.20438,13.938,0.0094339811
0.3604255261,2457610.20539366,2457610.20468,13.945,0.0094339811
0.3643352175,2457610.20568363,2457610.20497,13.948,0.0094339811
0.3683797407,2457610.2059836,2457610.20527,13.96,0.0094339811
0.3724243958,2457610.20628358,2457610.20557,13.963,0.0080622577
0.3767385765,2457610.20660355,2457610.20589,13.958,0.0094339811
0.3807830997,2457610.20690352,2457610.20619,13.946,0.0089442719
0.3850974185,2457610.2072235,2457610.20651,13.938,0.0089442719
0.3891419355,2457610.20752347,2457610.20681,13.93,0.0080622577
0.3933212906,2457610.20783344,2457610.20712,13.946,0.0080622577
0.3973658138,2457610.20813341,2457610.20742,13.945,0.0080622577
0.4015453008,2457610.20844339,2457610.20773,13.951,0.0080622577
0.4054549858,2457610.20873336,2457610.20802,13.948,0.0080622577
0.4097691728,2457610.20905333,2457610.20834,13.956,0.0094339811
