BJD,i,i_error
2457611.18910712,14.951,0.1099076216
2457611.19018702,15.0796666667,0.1027402631
2457611.19127693,15.078,0.0996324731
2457611.19236683,15.066,0.0826265176
2457611.19433666,15.1116666667,0.0684885528
2457611.1960865,15.1203333333,0.0674170643
2457611.19828631,15.047,0.0583679507
2457611.19917623,14.9273333333,0.0484422678
2457611.20027613,14.8823333333,0.0425010675
2457611.20136604,15.0673333333,0.0533993851
2457611.20224596,14.9596666667,0.0484390415
2457611.20312588,14.9913333333,0.0484375117
2457611.20422579,15.0176666667,0.0484360375
2457611.20554567,14.9843333333,0.046457946
2457611.20687555,14.9996666667,0.0454127993
2457611.20797546,15.0093333333,0.0453742354
2457611.20842542,14.9963333333,0.0443826682
2457611.20886538,15.0166666667,0.0473598845
2457611.2097353,15.089,0.0493439078
2457611.2108252,15.188,0.0522818451
2457611.21192511,14.9896666667,0.044379754
2457611.21280503,15.0426666667,0.0473598845
2457611.21347497,15.1186666667,0.0523268714
2457611.21413491,15.016,0.0463724407
2457611.21456487,14.966,0.0473613922
2457611.21522482,14.9993333333,0.0494301603
2457611.21631472,15.0873333333,0.0503704766
2457611.21720464,15.094,0.0513332394
2457611.2176446,15.0426666667,0.0493467473
2457611.21830454,14.9676666667,0.0444253683
2457611.21895449,15.039,0.0533965593
2457611.22027437,15.1043333333,0.0533939352
2457611.22181423,15.1163333333,0.0533965593
2457611.22248418,15.0563333333,0.0513659921
2457611.2233641,14.9796666667,0.0473629567
2457611.224464,15.061,0.0524027646
2457611.22513394,15.1196666667,0.0483872125
2457611.2255739,15.0523333333,0.0503732583
2457611.22601386,15.0416666667,0.0524070065
2457611.22667381,15.1606666667,0.0563754605
2457611.22754373,15.123,0.0523255068
2457611.22820367,15.0436666667,0.0503370762
2457611.22951355,15.127,0.0533194023
2457611.23105342,15.1406666667,0.0503370762
2457611.23260328,15.09,0.0513659921
2457611.23414314,15.1823333333,0.0543879558
2457611.23481309,15.2203333333,0.0593577353
2457611.23526305,15.0916666667,0.0553849648
2457611.23680291,14.9383333333,0.0454680189
2457611.23834277,15.034,0.0493823182
2457611.2392227,15.061,0.0494301603
2457611.24010262,15.039,0.0574189591
2457611.24119252,14.95,0.0474112736
2457611.24251241,15.0343333333,0.0493453003
2457611.24339233,15.1,0.0543110413
2457611.24406227,15.0213333333,0.0463661648
2457611.24451223,14.947,0.0414104001
2457611.24495219,15.0023333333,0.0464548139
2457611.24626207,14.9466666667,0.0494677521
2457611.24758196,14.994,0.0514662792
