Phase,BJD,JD,V,V_error
0.325811334885657,2457610.47293982,2457610.46749,16.906,0.0418807832
0.331811504748963,2457610.47329983,2457610.46785,16.885,0.0402243707
0.337978497768447,2457610.47366985,2457610.46822,16.852,0.0410487515
0.343978667631745,2457610.47402986,2457610.46858,16.876,0.0422018957
0.349979000476502,2457610.47438988,2457610.46894,16.871,0.0404969135
0.355812502404056,2457610.47473989,2457610.46929,16.931,0.0446542271
0.361646004331611,2457610.4750899,2457610.46964,16.966,0.0457930126
0.367812997351095,2457610.47545992,2457610.47001,16.871,0.0449444101
0.374146503085896,2457610.47583993,2457610.47039,16.93,0.0457930126
0.380146835930645,2457610.47619995,2457610.47075,16.952,0.0454862617
0.386146998032928,2457610.47655996,2457610.47111,16.886,0.0432666153
0.392147330877684,2457610.47691998,2457610.47147,17.007,0.0446542271
0.398314168676734,2457610.47728999,2457610.47184,16.982,0.0449444101
0.40431450152149,2457610.47765001,2457610.4722,17.018,0.0421900462
0.410314671384796,2457610.47801002,2457610.47256,16.852,0.0416173041
0.416314833487078,2457610.47837003,2457610.47292,16.918,0.0435660418
0.422315166331828,2457610.47873005,2457610.47328,17.058,0.046141088
0.428148668259382,2457610.47908006,2457610.47363,16.902,0.0418807832
0.434649004911385,2457610.47947008,2457610.47402,17.079,0.0496487663
0.440649167013667,2457610.47983009,2457610.47438,16.954,0.049244289
0.446482831922673,2457610.48018011,2457610.47473,16.981,0.0468721666
0.452649669721723,2457610.48055012,2457610.4751,16.957,0.0497393205
0.458649831824005,2457610.48091013,2457610.47546,16.993,0.049244289
0.464650164668761,2457610.48127015,2457610.47582,17.048,0.0501198563
0.470650334532067,2457610.48163016,2457610.47618,17.047,0.0478852796
0.476650667376816,2457610.48199018,2457610.47654,17.01,0.0542033209
0.482650837240122,2457610.48235019,2457610.4769,16.836,0.0460434577
0.488817667278155,2457610.4827202,2457610.47727,17.046,0.0528393793
0.494984668058656,2457610.48309022,2457610.47764,16.964,0.0547083175
0.500984837921962,2457610.48345023,2457610.478,17.044,0.0559464029
0.506985170766711,2457610.48381025,2457610.47836,16.871,0.0543783045
0.513318668740496,2457610.48419026,2457610.47874,17.028,0.0604152299
0.519152333649501,2457610.48454028,2457610.47909,16.987,0.0627694193
0.524985835577056,2457610.48489029,2457610.47944,16.789,0.0566127194
0.530985997679338,2457610.4852503,2457610.4798,16.884,0.0446542271
0.536986338285111,2457610.48561032,2457610.48016,17.008,0.0519711458
0.543153168323144,2457610.48598033,2457610.48053,16.905,0.0466476152
0.555320331205927,2457610.48671036,2457610.48126,16.966,0.0507740091
0.561653999922179,2457610.48709038,2457610.48164,16.806,0.0424381903
0.567654169785484,2457610.48745039,2457610.482,16.933,0.0485489444
