BJD,V,V_error
2457990.41213191,13.2,0.05
2457992.36355578,14.6,0.1
2457995.36984709,15.9,0.05
2457997.31806675,12.241,0.003
2457997.31842676,12.262,0.002
2457997.31878676,12.256,0.002
2457997.31914676,12.282,0.002
2457997.31950677,12.275,0.002
2457997.31986677,12.26,0.002
2457997.32022677,12.251,0.002
2457997.32056678,12.267,0.002
2457997.32092678,12.272,0.002
2457997.32128678,12.281,0.002
2457997.32164678,12.269,0.002
2457997.32200679,12.283,0.003
2457997.3227268,12.269,0.002
2457997.3230868,12.288,0.002
2457997.3234268,12.287,0.002
2457997.32378681,12.274,0.003
2457997.32414681,12.259,0.002
2457997.32450681,12.287,0.002
2457997.32486682,12.262,0.002
2457997.32522682,12.274,0.003
2457997.32558682,12.279,0.002
2457997.32592682,12.261,0.002
2457997.32628683,12.276,0.003
2457997.32664683,12.285,0.002
2457997.32700684,12.254,0.002
2457997.32736684,12.272,0.002
2457997.32772684,12.264,0.002
2457997.32808685,12.262,0.002
2457997.32844685,12.255,0.002
2457997.32879685,12.257,0.002
2457997.32914686,12.229,0.002
2457997.32950686,12.243,0.002
2457997.32986686,12.248,0.002
2457997.33022687,12.236,0.002
2457997.33058687,12.246,0.002
2457997.33094687,12.209,0.002
2457997.33128687,12.206,0.002
2457997.33164688,12.203,0.002
2457997.33200688,12.215,0.002
2457997.33236689,12.204,0.002
2457997.33272689,12.198,0.002
2457997.33306689,12.191,0.002
2457997.3334269,12.192,0.002
2457997.3337869,12.212,0.002
2457997.3341469,12.206,0.002
2457997.3345069,12.2,0.002
2457997.33486691,12.174,0.002
2457997.33522691,12.175,0.002
2457997.33556691,12.16,0.002
2457997.33592692,12.163,0.002
2457997.33628692,12.159,0.002
2457997.33664692,12.15,0.002
2457997.33700693,12.146,0.002
2457997.33735693,12.129,0.002
2457997.33771693,12.114,0.002
2457997.33806694,12.103,0.002
2457997.33842694,12.113,0.002
2457997.33878694,12.072,0.002
2457997.33914695,12.09,0.002
2457997.33950695,12.086,0.002
2457997.33986695,12.044,0.002
2457997.34022696,12.038,0.002
2457997.34058696,12.037,0.002
2457997.34094696,12.038,0.002
2457997.34128697,12.014,0.002
2457997.34165697,12.018,0.002
2457997.34200697,12.019,0.002
2457997.34236698,12.024,0.002
2457997.34272698,12.016,0.002
2457997.34308698,12.04,0.002
2457997.34344699,12.028,0.002
2457997.34379699,12.031,0.002
2457997.34415699,12.019,0.002
2457997.344517,12.033,0.002
2457997.344877,12.037,0.002
2457997.345237,12.028,0.002
2457997.34559701,12.018,0.002
2457997.34594701,12.02,0.002
2457997.34629701,12.05,0.002
2457997.34665702,12.059,0.002
2457997.34701702,12.045,0.002
2457997.34737702,12.05,0.002
2457997.34772703,12.047,0.002
2457997.34808703,12.051,0.002
2457997.34844703,12.099,0.002
2457997.34879703,12.071,0.002
2457997.34915704,12.071,0.002
2457997.34951704,12.092,0.002
2457997.34987705,12.078,0.002
2457997.35023705,12.093,0.002
2457997.35059705,12.11,0.002
2457997.35095706,12.094,0.002
2457997.35131706,12.093,0.002
2457997.35166706,12.1,0.002
2457997.35201707,12.135,0.002
2457997.35237707,12.127,0.002
2457997.35273707,12.129,0.002
2457997.35309708,12.135,0.002
2457997.35345708,12.129,0.002
2457997.35381708,12.105,0.002
2457997.35416708,12.142,0.002
2457997.35451709,12.143,0.002
2457997.35488709,12.152,0.002
2457997.35524709,12.149,0.002
2457997.3556071,12.147,0.002
2457997.3559671,12.154,0.002
2457997.3563171,12.153,0.002
2457997.35666711,12.171,0.002
2457997.35702711,12.16,0.002
2457997.35738711,12.186,0.002
2457997.35774712,12.194,0.002
2457997.35809712,12.164,0.002
2457997.35846712,12.17,0.002
2457997.35881713,12.185,0.002
2457997.35916713,12.197,0.002
2457997.35952713,12.189,0.002
2457997.35988714,12.194,0.002
2457997.36024714,12.181,0.002
2457997.36060714,12.168,0.002
2457997.36096715,12.2,0.002
2457997.36132715,12.207,0.002
2457997.36168715,12.201,0.002
2457997.36203716,12.207,0.002
2457997.36238716,12.226,0.002
2457997.36274716,12.207,0.002
2457997.36310716,12.208,0.002
2457997.36346717,12.236,0.002
2457997.36382717,12.221,0.002
2457997.36418717,12.217,0.002
2457997.36453718,12.218,0.002
2457997.36489718,12.216,0.002
2457997.36525719,12.216,0.002
2457997.36561719,12.215,0.002
2457997.36602719,12.23,0.002
2457997.36638719,12.24,0.002
2457997.3667372,12.24,0.002
2457997.3670972,12.234,0.002
2457997.3674572,12.236,0.002
2457997.36781721,12.217,0.002
2457997.36817721,12.246,0.002
2457997.36852722,12.245,0.002
2457997.36888722,12.225,0.002
2457997.36923722,12.221,0.002
2457997.36959722,12.225,0.002
2457997.36995723,12.232,0.002
2457997.37031723,12.262,0.002
2457997.37067723,12.225,0.002
2457997.37102724,12.249,0.002
2457997.37138724,12.243,0.002
2457997.37173724,12.249,0.002
2457997.37209725,12.252,0.002
2457997.37245725,12.27,0.002
2457997.37281725,12.241,0.002
2457997.37316726,12.241,0.002
2457997.37352726,12.262,0.002
2457997.37388726,12.253,0.002
2457997.37423726,12.256,0.002
2457997.37459727,12.249,0.002
2457997.37495727,12.262,0.002
2457997.37531728,12.269,0.002
2457997.37566728,12.25,0.002
2457997.37602728,12.285,0.002
2457997.37638728,12.255,0.002
2457997.37673729,12.257,0.002
2457997.37709729,12.247,0.002
2457997.37745729,12.275,0.002
2457997.3778173,12.26,0.002
2457997.3781773,12.276,0.002
2457997.3785373,12.265,0.002
2457997.37889731,12.273,0.002
2457997.37923731,12.27,0.002
2457997.37959731,12.26,0.002
2457997.37995732,12.263,0.002
2457997.38031732,12.279,0.002
2457997.38067732,12.259,0.002
2457997.38103733,12.288,0.002
2457997.38138733,12.284,0.002
2457997.38173733,12.278,0.002
2457997.38209734,12.281,0.002
2457997.38245734,12.291,0.002
2457997.38281734,12.277,0.002
2457997.38317735,12.294,0.003
2457997.38353735,12.276,0.002
2457997.38388735,12.261,0.002
2457997.38423735,12.304,0.002
2457997.38459736,12.303,0.002
2457997.38495736,12.28,0.002
