BJD,V,V_error
2458000.28227681,12.545,0.0249385630483
2458000.28283682,12.608,0.0225016382851
2458000.28340432,12.58,0.0235493724651
2458000.28397182,12.5915,0.0228665495094
2458000.28453183,12.58975,0.022503417007
2458000.28510183,12.561,0.0228489209388
2458000.28566683,12.5515,0.0237170824778
2458000.28622933,12.58475,0.0228189711397
2458000.28679934,12.5935,0.0223308248908
2458000.28736684,12.5585,0.0230245358329
2458000.28793434,12.60975,0.0223094066489
2458000.28849685,12.5695,0.0226744212141
2458000.28906435,12.5565,0.0229941491693
2458000.28963185,12.58025,0.0219771752409
2458000.29019435,12.60925,0.021775592018
2458000.29076186,12.57975,0.0226744212141
2458000.29133436,12.5345,0.0238918909059
2458000.29189686,12.562,0.0239232487661
2458000.29246687,12.5825,0.0224712099924
2458000.29303687,12.6135,0.0218076696444
2458000.29360187,12.55925,0.0224763884584
2458000.29416438,12.5495,0.0226774675875
2458000.29473438,12.52875,0.0233943114291
2458000.29530938,12.51075,0.0231824624612
2458000.29586938,12.50325,0.0238927212052
2458000.29643689,12.5185,0.0230248944693
2458000.29700439,12.551,0.0222686143271
2458000.29757189,12.50725,0.0228188610987
2458000.2981319,12.51525,0.0222457458594
2458000.2987019,12.48175,0.0240036224562
2458000.2992744,12.51,0.0225557599862
2458000.2998294,12.53825,0.0231097704728
2458000.30040191,12.4695,0.0223790165506
2458000.30097191,12.47325,0.0223858789664
2458000.30153941,12.51,0.0215176026762
2458000.30210191,12.4885,0.0215531207776
2458000.30266942,12.4395,0.0218574929983
2458000.30323442,12.443,0.0215097164124
2458000.30379942,12.4275,0.0213327215645
2458000.30436943,12.42375,0.022035797121
2458000.30494193,12.43925,0.0215091232331
2458000.30550193,12.39375,0.0225777682122
2458000.30606943,12.42775,0.0215320320144
2458000.30663694,12.4085,0.0222151463266
2458000.30720444,12.4355,0.0215182560671
2458000.30776444,12.476,0.0204651741215
2458000.30833445,12.424,0.0218576476943
2458000.30889695,12.49125,0.0206415111099
2458000.30945695,12.48025,0.0218589644088
