BJD,V,V_error
2458004.29668064,14.266,0.0161743479
2458004.42813043,14.199,0.0151964855
2458005.27947816,14.68,0.0093609939
2458005.28735814,14.767,0.0773148676
2458005.3024881,14.919,0.0868578273
2458005.31024808,15.112,0.1005996132
2458005.31787806,14.929,0.0868578273
2458005.32551804,15.157,0.1045647271
2458005.33329802,15.03,0.0897087792
2458005.34847798,15.119,0.0985249465
2458005.35598795,15.136,0.0974608723
2458005.36358793,15.223,0.1063373012
2458005.37126791,15.19,0.1023895582
2458005.38929785,15.034,0.0142347535
2458005.39696782,15.268,0.1062664405
2458005.4044978,15.115,0.0914468953
2458005.43558768,15.074,0.1137467099
2458005.44318765,15.049,0.1169969042
2458005.4583776,15.489,0.16523254
2458006.28878413,16.795,0.0770757332
2458008.28589164,17.347,0.0870185116
2458008.30120153,17.366,0.2650716882
2458008.36972103,17.634,0.1110145097
2458008.37794096,17.226,0.2000693555
2458008.39363084,17.495,0.2560541877
2458008.40982071,17.462,0.2820649684
2458009.29651305,17.854,0.1800200909
2458009.30429298,17.069,0.2931336829
2458009.34313264,18.171,0.2210150802
2458009.38488226,17.303,0.2480765758
2458010.29686303,17.069,0.0650250972
2458010.32474274,17.184,0.1920725363
2458010.34024258,16.916,0.1410938706
2458010.3479025,16.976,0.1480894335
2458010.35571242,16.966,0.1711068691
2458010.36339234,17.151,0.178078239
2458010.37927217,17.38,0.2160612884
2458010.394702,17.04,0.1640807128
2458010.4030519,16.95,0.1661055401
2458011.27846172,17.052,0.0710466944
2458011.28637163,16.866,0.1751377967
2458011.29399154,17.187,0.2290865901
2458011.30163145,17.071,0.2010946631
2458011.31709127,16.833,0.1561219509
2458011.32494118,16.854,0.1591149899
2458011.34046099,17.266,0.2280802052
2458011.35609081,17.425,0.2560714353
2458011.36378071,17.544,0.2840643941
2458011.37972051,17.031,0.1791021496
2458011.39607031,17.569,0.2950596806
2458013.294644,17.452,0.0730193294
2458013.30245388,17.209,0.1720555442
2458014.32296752,17.441,0.2540546117
2458014.33835727,17.637,0.2780498979
2458015.29539045,18.002,0.1220115304
2458015.30332031,17.781,0.2890330828
2458015.31107017,18.02,0.3590266327
2458015.31878004,17.823,0.3230410235
2458016.27849177,17.282,0.0610230438
2458016.28641162,17.362,0.2010659055
2458016.30193132,17.728,0.2810471462
2458016.30976117,17.853,0.3100308473
2458016.31733102,17.758,0.2790342744
2458016.32499087,17.279,0.1790534173
2458017.29661092,17.279,0.1760542783
2458018.27982931,17.303,0.1140315746
2458018.28747914,17.126,0.2801156904
2458020.29140069,17.936,0.092015095
2458020.29920049,17.929,0.285031538
2458020.3226799,18.039,0.3090290887
2458024.27619694,17.907,0.1140124439
2458024.2840167,17.764,0.3200433578
