BJD,JD,V,V_error
2451952.550633,2451952.5499,13.543,0.035
2451954.554553,2451954.55382,13.448,0.03
2451958.536903,2451958.53617,13.866,0.033
2451961.560753,2451961.56002,14.278,0.033
2452172.863782,2452172.86305,13.707,0.032
2452578.745094,2452578.74436,13.992,0.035
2453025.615109,2453025.61437,13.776,0.029
2453029.616429,2453029.61569,13.453,0.028
2453029.616429,2453029.61569,13.451,0.028
2453031.658619,2453031.65788,13.629,0.029
2453489.500675,2453489.49993,13.836,0.028
2453740.60714,2453740.60638,13.633,0.033
2453742.69228,2453742.69152,15.373,0.035
2453830.53306,2453830.5323,13.362,0.032
2453832.54848,2453832.54772,13.67,0.038
2453834.55756,2453834.5568,14.394,0.032
2454216.540183,2454216.53942,13.615,0.032
2454301.937273,2454301.93651,13.809,0.036
2454527.637473,2454527.63671,15.419,0.037
2454586.493143,2454586.49238,13.119,0.032
2454589.504083,2454589.50332,13.212,0.033
2454591.535833,2454591.53507,13.453,0.033
2454594.486843,2454594.48608,13.883,0.033
2454843.757453,2454843.75668,13.823,0.031
2454846.711693,2454846.71092,13.826,0.033
2454848.796053,2454848.79528,15.314,0.04
2455147.766251,2455147.76548,13.975,0.039
