BJD,JD,V,V_error
2456792.481095,2456792.48032,15.985,0.08281
2456805.456595,2456805.45582,16.878,0.14238
2456862.938216,2456862.93744,17.268,0.1651
2456873.918016,2456873.91724,17.131,0.15803
2456881.916436,2456881.91566,17.173,0.16032
2456906.853336,2456906.85256,17.734,0.17698
2456917.830906,2456917.83013,17.591,0.17572
2456927.889386,2456927.88861,17.082,0.15522
2456935.799827,2456935.79905,17.158,0.15952
2456943.781117,2456943.78034,17.45,0.17228
2456950.785307,2456950.78453,17.078,0.15499
2456951.769367,2456951.76859,17.206,0.16205
2456966.744037,2456966.74326,14.135,0.02531
2456970.725407,2456970.72463,16.721,0.13168
2456975.714707,2456975.71393,17.042,0.15284
2456978.844737,2456978.84396,16.994,0.14988
2456983.718897,2456983.71812,17.741,0.17698
2456988.687697,2456988.68692,17.357,0.16896
2456993.647167,2456993.64639,16.92,0.14515
2457000.687547,2457000.68677,16.66,0.12743
2457002.788767,2457002.78799,15.484,0.05765
2457004.745737,2457004.74496,16.511,0.11702
2457005.812287,2457005.81151,16.44,0.11209
2457006.831877,2457006.8311,17.099,0.15621
2457008.853487,2457008.85271,17.422,0.17137
2457011.725917,2457011.72514,16.829,0.13909
2457014.670147,2457014.66937,17.077,0.15493
2457017.726887,2457017.72611,17.378,0.16978
2457020.660507,2457020.65973,17.523,0.17432
2457036.791888,2457036.79111,17.669,0.1767
2457039.640178,2457039.6394,17.893,0.17551
2457042.666598,2457042.66582,17.719,0.17696
2457045.625668,2457045.62489,17.231,0.16331
2457049.626728,2457049.62595,17.104,0.1565
2457052.618988,2457052.61821,14.26,0.02669
2457065.690128,2457065.68935,17.252,0.16434
2457068.593618,2457068.59284,17.293,0.16625
2457072.586998,2457072.58622,17.388,0.17016
2457080.565088,2457080.56431,17.442,0.17203
2457094.598218,2457094.59744,17.282,0.16575
2457097.637378,2457097.6366,17.298,0.16647
2457100.633778,2457100.633,17.17,0.16016
2457107.533808,2457107.53303,17.065,0.15422
2457110.599348,2457110.59857,16.832,0.1393
2457118.581738,2457118.58096,13.671,0.02224
2457121.576738,2457121.57596,16.252,0.09941
2457124.523818,2457124.52304,16.644,0.12631
2457131.516658,2457131.51588,16.787,0.13623
2457132.517718,2457132.51694,16.906,0.14423
2457136.527768,2457136.52699,17.139,0.15847
2457142.509339,2457142.50856,16.848,0.14038
2457146.506229,2457146.50545,16.712,0.13106
2457158.468209,2457158.46743,16.766,0.13479
2457161.461669,2457161.46089,17.536,0.17462
2457226.929451,2457226.92866,17.756,0.17696
2457248.889081,2457248.88829,16.96,0.14773
2457249.876751,2457249.87596,17.078,0.15499
2457258.916012,2457258.91522,17.138,0.15707
2457265.840452,2457265.83966,17.148,0.15897
2457266.890672,2457266.88988,17.141,0.15724
2457267.910452,2457267.90966,16.607,0.12372
2457270.905592,2457270.9048,17.408,0.17088
2457277.806432,2457277.80564,17.05,0.15187
2457278.809532,2457278.80874,17.172,0.15897
2457288.895482,2457288.89469,17.424,0.1706
2457291.820942,2457291.82015,17.009,0.14932
2457311.769512,2457311.76872,17.596,0.17537
2457331.773933,2457331.77314,17.341,0.1673
2457334.762063,2457334.76127,17.533,0.17397
2457339.807023,2457339.80623,17.023,0.1502
2457363.640153,2457363.63936,17.389,0.16928
2457365.747263,2457365.74647,17.573,0.17491
2457371.799943,2457371.79915,17.517,0.17355
2457375.620763,2457375.61997,17.427,0.1707
2457376.768203,2457376.76741,17.29,0.165
2457390.759803,2457390.75901,17.135,0.1569
