BJD,JD,V,V_error
2452690.841704,2452690.84095,12.534,0.031
2452694.818154,2452694.8174,12.998,0.032
2452697.878364,2452697.87761,13.314,0.027
2452700.856684,2452700.85593,13.589,0.029
2452703.817633,2452703.81688,13.9,0.026
2452775.702131,2452775.70138,13.096,0.025
2453085.863898,2453085.86316,13.139,0.031
2453185.576265,2453185.57553,12.543,0.028
2453187.603405,2453187.60267,12.429,0.027
2453190.623625,2453190.62289,13.166,0.027
2453461.777966,2453461.77724,12.761,0.041
2453464.756826,2453464.7561,13.092,0.032
2453466.807246,2453466.80652,13.195,0.028
2453469.786946,2453469.78622,13.377,0.028
2453472.748526,2453472.7478,13.761,0.026
2453499.724735,2453499.72401,13.898,0.034
2453799.891961,2453799.89123,13.263,0.034
2454202.787901,2454202.78717,12.705,0.031
2454204.813901,2454204.81317,12.462,0.032
2454207.862121,2454207.86139,13.049,0.035
2454213.758761,2454213.75803,13.469,0.035
2454295.661272,2454295.66054,13.904,0.029
2454590.686908,2454590.68617,13.168,0.032
2454656.617,2454656.61626,12.989,0.027
2454658.66831,2454658.66757,12.932,0.038
2454661.55154,2454661.5508,13.122,0.03
2454663.62923,2454663.62849,13.314,0.03
2454666.55915,2454666.55841,13.541,0.028
2454984.661422,2454984.66066,12.496,0.044
2454994.659952,2454994.65919,13.543,0.039
