BJD,JD,V,V_error
2453466.87461279,2453466.8694,13.08,0.05
2453466.88373321,2453466.87852,13.12,0.05
2453466.89282363,2453466.88761,13.16,0.05
2453466.90195405,2453466.89674,13.17,0.05
2453480.83953099,2453480.83381,17.36,0.09
2453480.84831122,2453480.84259,17.44,0.09
2453480.85704145,2453480.85132,17.6,0.1
2453480.86578169,2453480.86006,17.24,0.09
2453554.76171628,2453554.75794,13.52,0.05
2453554.7683158,2453554.76454,13.51,0.05
2453554.77488533,2453554.77111,13.52,0.05
2453554.78141485,2453554.77764,13.54,0.05
2453560.7633122,2453560.75998,17.51,0.1
2453560.77089162,2453560.76756,17.34,0.09
2453560.77844103,2453560.77511,17.51,0.1
2453560.78593046,2453560.7826,17.6,0.1
2453528.79870916,2453528.79342,17.62,0.1
2453528.8068988,2453528.80161,17.7,0.1
2453528.81506844,2453528.80978,17.87,0.11
2453528.82323809,2453528.81795,17.84,0.11
2453537.75945192,2453537.7546,17.74,0.11
2453537.76752148,2453537.76267,17.79,0.11
2453537.77552104,2453537.77067,17.79,0.11
2453537.78354061,2453537.77869,17.68,0.1
2453499.82315635,2453499.8172,14.16,0.05
2453499.82960634,2453499.82365,14.17,0.05
2453499.83604633,2453499.83009,14.15,0.05
2453499.84245632,2453499.8365,14.17,0.05
2453509.67783503,2453509.67197,17.39,0.09
2453509.68424493,2453509.67838,17.33,0.09
2453509.69067483,2453509.68481,17.57,0.1
2453509.69709473,2453509.69123,17.65,0.1
2453520.84219054,2453520.8366,17.65,0.1
2453520.84864033,2453520.84305,17.88,0.11
2453520.85506011,2453520.84947,17.68,0.11
2453520.8615099,2453520.85592,17.42,0.1
2453831.91421775,2453831.90901,17.62,0.1
2453831.92084806,2453831.91564,17.76,0.11
2453831.92739836,2453831.92219,17.92,0.11
2453831.93394866,2453831.92874,18.1,0.12
2453845.89912096,2453845.8934,17.76,0.11
2453845.90725117,2453845.90153,17.88,0.11
2453845.91532139,2453845.9096,17.55,0.1
2453845.9234216,2453845.9177,17.52,0.1
2453745.99320008,2453745.99476,17.59,0.1
2453745.99915057,2453746.00071,17.45,0.1
2453746.00510106,2453746.00666,17.4,0.09
2453746.01106155,2453746.01262,17.46,0.1
2453904.80119947,2453904.79644,17.89,0.28
2453904.80224941,2453904.79749,17.93,0.29
2453904.80331935,2453904.79856,18.02,0.3
2453904.80438929,2453904.79963,17.57,0.24
2453799.96007862,2453799.95694,13.26,0.05
2453799.96870931,2453799.96557,13.26,0.05
2453799.97739001,2453799.97425,13.26,0.05
2453799.9860407,2453799.9829,13.26,0.05
2453818.92998002,2453818.92548,17.72,0.11
2453818.93714047,2453818.93264,17.62,0.1
2453818.94430092,2453818.9398,17.64,0.1
2453818.95144136,2453818.94694,17.95,0.11
2453857.81242543,2453857.80649,14.41,0.06
2453857.82122551,2453857.81529,14.29,0.06
2453857.82998559,2453857.82405,14.2,0.06
2453857.83878567,2453857.83285,14.14,0.05
2453876.81454717,2453876.80871,17.73,0.11
2453876.823047,2453876.81721,17.84,0.11
2453876.83150684,2453876.82567,17.93,0.12
2453876.83997667,2453876.83414,17.92,0.12
2453882.73203784,2453882.72634,18.06,0.12
2453882.74057761,2453882.73488,17.98,0.12
