BJD,JD,V,V_error
2453575.83507066,2453575.8305,17.28,0.08
2453607.82994657,2453607.8241,17.51,0.07
2453930.82930965,2453930.8254,17.75,0.19
2454029.72572083,2454029.72119,17.562,0.044
2454056.73863982,2454056.73612,17.635,0.037
2454068.74425229,2454068.74278,17.462,0.05
2454294.58709301,2454294.5833,17.37,0.17
2454295.60276466,2454295.5989,17.17,0.17
2454296.52372884,2454296.5198,17.27,0.14
2454348.45744581,2454348.4515,17.35,0.02
2454351.44554855,2454351.4396,17.56,0.02
2454389.393045,2454389.3882,15.39,0.22
2454691.75031153,2454691.7448,17.97,0.06
2454732.8245506,2454732.81883,17.361,0.026
2454758.75790779,2454758.75331,12.45,0.012
2454759.19050179,2454759.18593,12.764,0.012
2454759.1919717,2454759.1874,12.738,0.012
2454759.19344162,2454759.18887,12.779,0.012
2454759.19516151,2454759.19059,12.747,0.009
2454759.19639144,2454759.19182,12.74,0.009
2454759.19761136,2454759.19304,12.745,0.009
2454759.19884129,2454759.19427,12.727,0.009
2454759.20007122,2454759.1955,12.745,0.012
2454759.20129114,2454759.19672,12.745,0.011
2454759.20288105,2454759.19831,12.732,0.013
2454759.20411097,2454759.19954,12.769,0.013
2454759.2053309,2454759.20076,12.781,0.014
2454759.20656082,2454759.20199,12.77,0.01
2454759.20779075,2454759.20322,12.742,0.008
2454759.20901068,2454759.20444,12.755,0.009
2454759.2102406,2454759.20567,12.745,0.01
2454759.21147053,2454759.2069,12.783,0.011
2454759.21269045,2454759.20812,12.786,0.009
2454759.21441035,2454759.20984,12.786,0.011
2454759.21563028,2454759.21106,12.769,0.013
2454759.2168702,2454759.2123,12.774,0.006
2454759.21810013,2454759.21353,12.769,0.008
2454759.21933005,2454759.21476,12.813,0.02
2454759.22057998,2454759.21601,12.78,0.031
2454759.2217999,2454759.21723,12.759,0.03
2454759.22302983,2454759.21846,12.769,0.03
2454759.22490972,2454759.22034,12.788,0.025
2454759.22612964,2454759.22156,12.792,0.024
2454759.22735957,2454759.22279,12.804,0.013
2454759.22858949,2454759.22402,12.78,0.011
2454759.22980942,2454759.22524,12.774,0.013
2454759.23104934,2454759.22648,12.78,0.011
2454759.23227927,2454759.22771,12.775,0.011
2454759.2335092,2454759.22894,12.799,0.011
2454759.2351491,2454759.23058,12.774,0.011
2454759.23637902,2454759.23181,12.779,0.004
2454759.23760895,2454759.23304,12.793,0.003
2454759.23883887,2454759.23427,12.784,0.008
2454759.2400688,2454759.2355,12.796,0.011
2454759.24380857,2454759.23924,12.85,0.01
2454759.2450285,2454759.24046,12.821,0.008
2454759.24625843,2454759.24169,12.818,0.018
2454759.24726836,2454759.2427,12.78,0.02
2454759.24749835,2454759.24293,12.804,0.021
2454759.24806832,2454759.2435,12.82,0.01
2454759.24872828,2454759.24416,12.781,0.025
2454759.24886827,2454759.2443,12.85,0.02
2454759.24966822,2454759.2451,12.78,0.01
2454759.2499482,2454759.24538,12.789,0.024
2454759.25036818,2454759.2458,12.81,0.01
2454759.25116813,2454759.2466,12.86,0.01
2454759.25118813,2454759.24662,12.779,0.02
2454759.25196808,2454759.2474,12.84,0.01
2454759.25241805,2454759.24785,12.791,0.02
2454759.25276803,2454759.2482,12.85,0.01
2454759.25346799,2454759.2489,12.81,0.01
