BJD,JD,V,V_error
2456221.894912,2456221.89414,17.129,0.15656
2456233.726433,2456233.72566,16.959,0.14612
2456236.758643,2456236.75787,17.331,0.16687
2456436.060139,2456436.05936,17.387,0.1692
2456443.068519,2456443.06774,17.153,0.15792
2456448.031589,2456448.03081,17.015,0.1497
2456452.979369,2456452.97859,17.24,0.16256
2456459.958059,2456459.95728,17.188,0.15984
2456462.993529,2456462.99275,17.117,0.15586
2456465.011009,2456465.01023,17.112,0.15557
2456475.00382,2456475.00304,17.747,0.17697
2456477.10888,2456477.1081,16.908,0.14278
2456486.9825,2456486.98172,17.255,0.16331
2456489.94791,2456489.94713,17.296,0.16529
2456491.97025,2456491.96947,17.156,0.15808
2456506.965741,2456506.96496,12.63,0.02
2456508.968531,2456508.96775,12.847,0.02
2456513.880071,2456513.87929,16.33,0.10299
2456518.902931,2456518.90215,16.47,0.11251
2456521.902241,2456521.90146,16.696,0.12827
2456527.928521,2456527.92774,16.655,0.1254
2456532.906172,2456532.90539,16.783,0.13431
2456534.896982,2456534.8962,17.025,0.15032
2456544.897962,2456544.89718,16.965,0.14651
2456573.853503,2456573.85272,17.051,0.15193
2456652.716435,2456652.71565,16.865,0.1399
2456767.113428,2456767.11264,16.672,0.12659
2456784.094889,2456784.0941,17.295,0.16524
2456785.107219,2456785.10643,17.195,0.16022
2456796.071179,2456796.07039,16.724,0.13022
2456805.062649,2456805.06186,17.218,0.16143
2456820.036689,2456820.0359,17.032,0.15076
2456835.009919,2456835.00913,17.046,0.15162
2456836.009199,2456836.00841,17.512,0.17341
2456856.00214,2456856.00135,17.146,0.15752
2456857.01497,2456857.01418,17.183,0.15957
2456862.9866,2456862.98581,17.133,0.15678
2456863.97548,2456863.97469,17.354,0.16786
2456865.98996,2456865.98917,17.021,0.15007
2456868.96236,2456868.96157,17.082,0.1538
2456869.94389,2456869.9431,17.247,0.16291
2456874.84045,2456874.83966,17.264,0.16376
2456875.9707,2456875.96991,17.493,0.17286
2456885.95141,2456885.95062,17.287,0.16486
2456890.934321,2456890.93353,17.263,0.16371
2456892.941481,2456892.94069,17.251,0.16311
2456894.929611,2456894.92882,17.054,0.15211
2456895.935601,2456895.93481,17.175,0.15913
2456896.926031,2456896.92524,17.321,0.16643
2456900.917541,2456900.91675,17.276,0.16434
2456902.765861,2456902.76507,17.073,0.15326
2456904.917191,2456904.9164,17.486,0.17265
2456915.011051,2456915.01026,17.045,0.15156
2456916.997771,2456916.99698,16.852,0.13903
2456917.898611,2456917.89782,16.962,0.14632
2456920.892831,2456920.89204,17.05,0.15187
2456928.871131,2456928.87034,17.356,0.16794
2456967.861182,2456967.86039,16.308,0.10153
2456969.827412,2456969.82662,17.034,0.15088
2456970.824922,2456970.82413,16.743,0.13154
2456971.789602,2456971.78881,17.541,0.17417
2456972.793522,2456972.79273,17.255,0.16331
2456973.797362,2456973.79657,17.029,0.15057
2456986.767822,2456986.76703,17.02,0.15001
2456993.772322,2456993.77153,17.019,0.14995
2457003.721242,2457003.72045,17.671,0.17649
2457004.731272,2457004.73048,17.334,0.167
2457009.725212,2457009.72442,17.397,0.16959
2457133.126084,2457133.12529,17.056,0.15223
2457136.114134,2457136.11334,17.228,0.16195
2457148.083394,2457148.0826,11.587,0.02
2457151.101524,2457151.10073,11.892,0.02
2457164.071864,2457164.07107,16.317,0.10212
2457172.043674,2457172.04288,16.732,0.13078
2457178.049474,2457178.04868,16.344,0.10393
2457184.086294,2457184.0855,17.202,0.16059
2457185.010184,2457185.00939,16.73,0.13064
2457193.005044,2457193.00425,16.959,0.14612
2457199.958584,2457199.95779,17.089,0.15422
2457203.943594,2457203.9428,17.184,0.15963
2457204.941005,2457204.9402,16.593,0.12107
2457211.090075,2457211.08927,17.284,0.16472
2457213.075675,2457213.07487,17.307,0.16579
2457221.969905,2457221.9691,17.294,0.16519
2457226.981295,2457226.98049,17.134,0.15684
2457229.878535,2457229.87773,17.285,0.16477
2457230.876585,2457230.87578,17.216,0.16133
2457241.064235,2457241.06343,17.14,0.15718
2457242.968946,2457242.96814,17.076,0.15344
2457244.940786,2457244.93998,16.975,0.14716
2457247.019186,2457247.01838,17.414,0.17023
2457248.914446,2457248.91364,17.34,0.16726
2457255.829996,2457255.82919,17.309,0.16588
2457271.008136,2457271.00733,16.868,0.14011
2457272.950086,2457272.94928,17.038,0.15113
2457274.984626,2457274.98382,17.282,0.16463
2457284.990686,2457284.98988,17.419,0.17042
2457290.942896,2457290.94209,17.383,0.16904
2457296.974126,2457296.97332,17.157,0.15814
2457297.856726,2457297.85592,16.804,0.13575
2457303.934316,2457303.93351,17.218,0.16143
2457305.882876,2457305.88207,17.324,0.16656
2457308.849996,2457308.84919,14.9,0.0377
2457310.818356,2457310.81755,17.101,0.15493
2457314.781506,2457314.7807,17.185,0.15968
2457316.897816,2457316.89701,16.901,0.14232
