BJD,JD,V,V_error
2457807.29381452,2457807.29243,16.723,0.0164282565
2457807.29393451,2457807.29255,16.7993333333,0.0172552195
2457807.29404451,2457807.29266,16.8226666667,0.016232004
2457807.2941645,2457807.29278,16.819,0.016174704
2457807.2942745,2457807.29289,16.7753333333,0.0164098077
2457807.2943945,2457807.29301,16.8453333333,0.0173461123
2457807.29451449,2457807.29313,16.8476666667,0.0181130831
2457807.29462449,2457807.29324,16.818,0.0152940102
2457807.29474449,2457807.29336,16.785,0.0171061699
2457807.29485449,2457807.29347,16.7226666667,0.0164098077
2457807.29497448,2457807.29359,16.7396666667,0.0162506547
2457807.29509448,2457807.29371,16.7216666667,0.016270348
2457807.29520448,2457807.29382,16.6993333333,0.016232004
2457807.29532447,2457807.29394,16.7213333333,0.0163531307
2457807.29543447,2457807.29405,16.778,0.0182725919
2457807.29555447,2457807.29417,16.7823333333,0.0173286407
2457807.29566446,2457807.29428,16.8833333333,0.018096352
2457807.29578446,2457807.2944,16.9213333333,0.0192589197
2457807.29590446,2457807.29452,16.8926666667,0.0181130831
2457807.29601445,2457807.29463,16.911,0.0191757811
2457807.29613445,2457807.29475,16.862,0.01716036
2457807.29624445,2457807.29486,16.9216666667,0.018044973
2457807.29636444,2457807.29498,16.968,0.0192064472
2457807.29648444,2457807.2951,16.9563333333,0.0190059695
2457807.29659444,2457807.29521,16.9093333333,0.0190059695
2457807.29671443,2457807.29533,16.918,0.0190388538
2457807.29682443,2457807.29544,16.9266666667,0.018096352
2457807.29694443,2457807.29556,16.873,0.018096352
2457807.29706442,2457807.29568,16.8466666667,0.01716036
2457807.29717442,2457807.29579,16.837,0.0162506547
2457807.29729442,2457807.29591,16.8633333333,0.0180617517
2457807.29740441,2457807.29602,16.7836666667,0.0182725919
2457807.29752441,2457807.29614,16.8056666667,0.0171966341
2457807.29764441,2457807.29626,16.8333333333,0.0181687136
2457807.2977544,2457807.29637,16.8133333333,0.0172190688
2457807.2978744,2457807.29649,16.815,0.0162506547
2457807.2979844,2457807.2966,16.8113333333,0.01716036
2457807.2981044,2457807.29672,16.8893333333,0.0181130831
2457807.29821439,2457807.29683,16.8536666667,0.0181130831
2457807.29833439,2457807.29695,16.8143333333,0.0161934207
2457807.29845438,2457807.29707,16.852,0.0170894658
2457807.29856438,2457807.29718,16.8373333333,0.0171780028
2457807.29868438,2457807.2973,16.8396666667,0.01716036
2457807.29879438,2457807.29741,16.8046666667,0.0182725919
2457807.29891437,2457807.29753,16.8363333333,0.018096352
2457807.29903437,2457807.29765,16.81,0.0171238686
2457807.29914436,2457807.29776,16.7906666667,0.0171238686
2457807.29926436,2457807.29788,16.8303333333,0.0181307535
2457807.29937436,2457807.29799,16.787,0.016174704
2457807.29949435,2457807.29811,16.769,0.0162506547
2457807.29961435,2457807.29823,16.7846666667,0.0164282565
2457807.29972435,2457807.29834,16.802,0.0162506547
2457807.29984435,2457807.29846,16.8173333333,0.0161934207
2457807.29995434,2457807.29857,16.7143333333,0.015312673
2457807.30007434,2457807.29869,16.771,0.016232004
2457807.30018434,2457807.2988,16.753,0.016232004
2457807.30030433,2457807.29892,16.7693333333,0.016232004
2457807.30042433,2457807.29904,16.7523333333,0.0164282565
2457807.30053433,2457807.29915,16.7353333333,0.0162940581
2457807.30065432,2457807.29927,16.7836666667,0.0162765206
2457807.30076432,2457807.29938,16.8096666667,0.01716036
2457807.30088432,2457807.2995,16.821,0.0181130831
2457807.30100431,2457807.29962,16.8486666667,0.0172190688
2457807.30111431,2457807.29973,16.8506666667,0.0180617517
2457807.30123431,2457807.29985,16.8206666667,0.01716036
2457807.3013443,2457807.29996,16.829,0.01716036
2457807.3014643,2457807.30008,16.859,0.0173286407
2457807.3015843,2457807.3002,16.879,0.018096352
2457807.30169429,2457807.30031,16.8436666667,0.0182725919
2457807.30181429,2457807.30043,16.9003333333,0.018044973
2457807.30192429,2457807.30054,16.8806666667,0.0181307535
2457807.30204428,2457807.30066,16.8803333333,0.016392394
2457807.30216428,2457807.30078,16.9386666667,0.0182725919
2457807.30227428,2457807.30089,16.9126666667,0.0190547574
2457807.30239428,2457807.30101,16.899,0.0181130831
2457807.30250427,2457807.30112,16.924,0.0183277382
2457807.30262427,2457807.30124,16.9073333333,0.0181130831
2457807.30273426,2457807.30135,16.9356666667,0.0190388538
2457807.30285426,2457807.30147,16.9196666667,0.0190388538
2457807.30297426,2457807.30159,16.909,0.0181130831
2457807.30308426,2457807.3017,16.924,0.0190547574
2457807.30320425,2457807.30182,16.9246666667,0.0190388538
2457807.30331425,2457807.30193,16.827,0.0171780028
2457807.30343424,2457807.30205,16.8413333333,0.0171780028
2457807.30355424,2457807.30217,16.8326666667,0.0173461123
2457807.30366424,2457807.30228,16.7906666667,0.0171780028
2457807.30378423,2457807.3024,16.8776666667,0.018096352
2457807.30389423,2457807.30251,16.8513333333,0.0182901082
2457807.30401423,2457807.30263,16.8533333333,0.0182901082
2457807.30413423,2457807.30275,16.876,0.0182560069
2457807.30424422,2457807.30286,16.8226666667,0.0182725919
2457807.30436422,2457807.30298,16.7873333333,0.01716036
2457807.30447422,2457807.30309,16.8523333333,0.0172925044
2457807.30459421,2457807.30321,16.8466666667,0.016392394
2457807.30470421,2457807.30332,16.844,0.0171238686
2457807.30482421,2457807.30344,16.848,0.0171780028
2457807.3049442,2457807.30356,16.786,0.01716036
2457807.3050542,2457807.30367,16.8173333333,0.0171061699
2457807.3051742,2457807.30379,16.8406666667,0.01716036
2457807.30528419,2457807.3039,16.882,0.0171780028
2457807.30540419,2457807.30402,16.882,0.0190547574
2457807.30552419,2457807.30414,16.83,0.01716036
2457807.30563418,2457807.30425,16.7796666667,0.016232004
2457807.30575418,2457807.30437,16.769,0.0164098077
2457807.30586418,2457807.30448,16.826,0.01716036
2457807.30598417,2457807.3046,16.8586666667,0.0173461123
2457807.30610417,2457807.30472,16.8543333333,0.0173286407
2457807.30621417,2457807.30483,16.8516666667,0.0182725919
2457807.30633416,2457807.30495,16.8306666667,0.0162143994
2457807.30644416,2457807.30506,16.8643333333,0.0181130831
2457807.30656416,2457807.30518,16.864,0.0180617517
2457807.30668415,2457807.3053,16.7923333333,0.016232004
2457807.30679415,2457807.30541,16.8443333333,0.01716036
2457807.30691415,2457807.30553,16.832,0.018096352
2457807.30702414,2457807.30564,16.92,0.018044973
2457807.30714414,2457807.30576,16.908,0.0180617517
2457807.30725414,2457807.30587,16.947,0.0190547574
2457807.30737414,2457807.30599,16.909,0.0182403558
2457807.30749413,2457807.30611,16.9713333333,0.0200020944
2457807.30760413,2457807.30622,16.946,0.0190059695
2457807.30772413,2457807.30634,16.8906666667,0.018096352
2457807.30783412,2457807.30645,16.928,0.0190238468
2457807.30795412,2457807.30657,16.9096666667,0.0190917869
2457807.30807411,2457807.30669,16.8706666667,0.01716036
2457807.30818411,2457807.3068,16.844,0.0171238686
2457807.30830411,2457807.30692,16.8836666667,0.018044973
2457807.30841411,2457807.30703,16.8673333333,0.0181130831
2457807.3085341,2457807.30715,16.8416666667,0.0171437087
2457807.3086541,2457807.30727,16.8493333333,0.0172024743
2457807.3087641,2457807.30738,16.863,0.0181130831
2457807.30888409,2457807.3075,16.8623333333,0.0173461123
2457807.30899409,2457807.30761,16.879,0.0171780028
2457807.30911409,2457807.30773,16.8393333333,0.0161934207
2457807.30922408,2457807.30784,16.8376666667,0.0171780028
2457807.30934408,2457807.30796,16.9213333333,0.0181130831
2457807.30946408,2457807.30808,16.8933333333,0.018044973
2457807.30957407,2457807.30819,16.92,0.0181130831
2457807.30969407,2457807.30831,16.9386666667,0.018044973
2457807.30980407,2457807.30842,16.901,0.0191906693
2457807.30992406,2457807.30854,16.845,0.01716036
2457807.31004406,2457807.30866,16.8236666667,0.0173121512
2457807.31015406,2457807.30877,16.8366666667,0.0173121512
2457807.31027405,2457807.30889,16.8426666667,0.0172190688
2457807.31038405,2457807.309,16.8196666667,0.0171780028
2457807.31050405,2457807.30912,16.754,0.016232004
2457807.31062404,2457807.30924,16.736,0.0162506547
2457807.31073404,2457807.30935,16.7423333333,0.0162506547
2457807.31085404,2457807.30947,16.732,0.0155854415
2457807.31096403,2457807.30958,16.69,0.0163126379
2457807.31108403,2457807.3097,16.6553333333,0.0152717673
2457807.31120403,2457807.30982,16.742,0.0155205545
2457807.31131402,2457807.30993,16.7703333333,0.0162506547
2457807.31143402,2457807.31005,16.812,0.0173461123
2457807.31154402,2457807.31016,16.7916666667,0.0182725919
2457807.31166401,2457807.31028,16.7823333333,0.0161934207
2457807.31177401,2457807.31039,16.719,0.015312673
2457807.31189401,2457807.31051,16.705,0.016270348
2457807.31201401,2457807.31063,16.7056666667,0.0162506547
2457807.312124,2457807.31074,16.822,0.01716036
2457807.312244,2457807.31086,16.822,0.0180794723
2457807.31235399,2457807.31097,16.8393333333,0.016232004
2457807.31247399,2457807.31109,16.88,0.0182901082
2457807.31259399,2457807.31121,16.8906666667,0.020162541
2457807.31270398,2457807.31132,16.843,0.0171780028
2457807.31282398,2457807.31144,16.8883333333,0.0181307535
2457807.31293398,2457807.31155,16.947,0.018990025
2457807.31305398,2457807.31167,16.934,0.0199869446
2457807.31317397,2457807.31179,16.8626666667,0.0181130831
2457807.31328397,2457807.3119,16.8696666667,0.0180617517
2457807.31340397,2457807.31202,16.8793333333,0.0171780028
2457807.31351396,2457807.31213,16.8056666667,0.01716036
2457807.31363396,2457807.31225,16.7966666667,0.0180794723
2457807.31374396,2457807.31236,16.767,0.0164282565
2457807.31386395,2457807.31248,16.819,0.01716036
2457807.31398395,2457807.3126,16.8473333333,0.0171780028
2457807.31409395,2457807.31271,16.8593333333,0.0172749785
2457807.31421394,2457807.31283,16.7863333333,0.01716036
2457807.31432394,2457807.31294,16.782,0.01716036
2457807.31444394,2457807.31306,16.8776666667,0.0171780028
2457807.31456393,2457807.31318,16.8736666667,0.0172366515
2457807.31467393,2457807.31329,16.9023333333,0.0181130831
2457807.31479393,2457807.31341,16.891,0.0182050785
2457807.31490392,2457807.31352,16.9083333333,0.018044973
2457807.31502392,2457807.31364,16.9283333333,0.0182560069
2457807.31514392,2457807.31376,16.955,0.0190547574
2457807.31525391,2457807.31387,17.002,0.0190388538
2457807.31537391,2457807.31399,16.9623333333,0.018044973
2457807.31548391,2457807.3141,16.9793333333,0.020052485
2457807.3156039,2457807.31422,16.9976666667,0.0201466527
