Phase,BJD,JD,V,V_error
0.9057571429,2457613.21251927,2457613.21207,16.972,0.0413037529
0.912228483,2457613.21299923,2457613.21255,17.057,0.0452769257
0.9186998294,2457613.21347919,2457613.21303,17.016,0.042296572
1.0563499953,2457613.22368829,2457613.22324,17.208,0.0552268051
1.0628213355,2457613.22416825,2457613.22372,17.103,0.048259714
1.0692926819,2457613.22464821,2457613.2242,17.188,0.0522398315
1.0757638839,2457613.22512816,2457613.22468,17.099,0.048259714
1.0819655665,2457613.22558812,2457613.22514,17.213,0.0542309875
1.0883020747,2457613.22605808,2457613.22561,17.2,0.0542309875
1.0949082467,2457613.22654804,2457613.2261,17.205,0.0512445119
1.1012447613,2457613.227018,2457613.22657,16.971,0.0413037529
1.1075811376,2457613.22748795,2457613.22704,17.18,0.0502493781
1.1140524778,2457613.22796791,2457613.22752,17.164,0.0532353266
1.1209283135,2457613.22847787,2457613.22803,17.203,0.0532353266
1.1272648218,2457613.22894783,2457613.2285,17.108,0.0492544414
1.1336011982,2457613.22941778,2457613.22897,17.323,0.061204575
1.1402073702,2457613.22990774,2457613.22946,17.255,0.057218878
1.1465438847,2457613.2303777,2457613.22993,17.234,0.0492544414
1.152745561,2457613.23083766,2457613.23039,17.298,0.0592114854
1.1592169012,2457613.23131762,2457613.23087,17.127,0.0552268051
1.1656881094,2457613.23179757,2457613.23135,17.131,0.0562227712
1.1722942814,2457613.23228753,2457613.23184,17.077,0.0563205114
1.178630796,2457613.23275749,2457613.23231,17.286,0.0662721661
1.185236968,2457613.23324745,2457613.2328,16.93,0.046389654
1.1918430018,2457613.2337374,2457613.23329,17.013,0.048259714
1.1981795164,2457613.23420736,2457613.23376,17.232,0.0612943717
1.2043811927,2457613.23466732,2457613.23422,17.236,0.0562227712
1.2108525391,2457613.23514728,2457613.2347,17.239,0.0562227712
1.217458573,2457613.23563723,2457613.23519,17.291,0.062289646
1.2237950875,2457613.23610719,2457613.23566,17.293,0.0602079729
1.2299967639,2457613.23656715,2457613.23612,17.195,0.0532353266
1.2366029359,2457613.23705711,2457613.23661,17.335,0.0641950154
1.2429394504,2457613.23752707,2457613.23708,17.456,0.0732461603
1.2496803161,2457613.23802702,2457613.23758,17.317,0.0641950154
1.2561516563,2457613.23850698,2457613.23806,17.361,0.066189123
1.2626230027,2457613.23898694,2457613.23854,17.418,0.0702566723
1.2752960254,2457613.23992686,2457613.23948,17.361,0.0712530701
1.2816324018,2457613.24039681,2457613.23995,17.372,0.0742428448
1.2882385738,2457613.24088677,2457613.24044,17.305,0.0692603783
1.2948447458,2457613.24137673,2457613.24093,17.293,0.0722495675
1.3011812541,2457613.24184669,2457613.2414,17.365,0.0752396172
1.3073829367,2457613.24230665,2457613.24186,17.396,0.0762364742
1.3142586343,2457613.2428166,2457613.24237,17.192,0.0632850693
1.3205951426,2457613.24328656,2457613.24284,17.233,0.0652763357
1.3269316571,2457613.24375652,2457613.24331,17.2,0.0642806347
1.333537691,2457613.24424647,2457613.2438,17.058,0.0593043
1.3398742055,2457613.24471643,2457613.24427,17.144,0.0642806347
1.3460758818,2457613.24517639,2457613.24473,17.011,0.0543323108
1.3526820538,2457613.24566635,2457613.24522,17.152,0.0593043
1.3590185684,2457613.24613631,2457613.24569,17.313,0.0702566723
1.3656246085,2457613.24662626,2457613.24618,17.244,0.0672681202
1.3720959486,2457613.24710622,2457613.24666,17.421,0.0802246845
1.3787021206,2457613.24759618,2457613.24715,17.037,0.0574282161
1.3851734608,2457613.24807614,2457613.24763,17.182,0.0662721661
1.3913750053,2457613.24853609,2457613.24809,17.201,0.0692603783
1.3977115198,2457613.24900605,2457613.24856,17.03,0.0533385414
1.4043176918,2457613.24949601,2457613.24905,17.219,0.0642806347
1.4107890319,2457613.24997597,2457613.24953,17.281,0.0702566723
1.417260372,2457613.25045593,2457613.25001,17.358,0.0753259583
1.4234619165,2457613.25091588,2457613.25047,17.226,0.0693541635
1.4299332629,2457613.25139584,2457613.25095,17.206,0.0693541635
1.436539435,2457613.2518858,2457613.25144,17.411,0.0862090482
1.4430107751,2457613.25236576,2457613.25192,17.516,0.0972522493
1.4496168152,2457613.25285571,2457613.25241,17.265,0.0762364742
1.4559533235,2457613.25332567,2457613.25288,17.266,0.0733348485
1.4621550061,2457613.25378563,2457613.25334,17.327,0.0753259583
1.4686263462,2457613.25426559,2457613.25382,17.331,0.0813019065
1.4752325182,2457613.25475555,2457613.25431,17.273,0.0773175271
1.4815688946,2457613.2552255,2457613.25478,17.214,0.0723394775
1.4881750666,2457613.25571546,2457613.25527,16.967,0.0584208867
1.494376743,2457613.25617542,2457613.25573,17.326,0.0743303437
1.5007132575,2457613.25664538,2457613.2562,17.128,0.0682641927
1.5075889551,2457613.25715533,2457613.25671,17.197,0.0723394775
1.5202619779,2457613.25809525,2457613.25765,17.053,0.062289646
1.5268681499,2457613.25858521,2457613.25814,17.154,0.0672681202
1.5332046644,2457613.25905517,2457613.25861,16.996,0.0604069532
1.5394062089,2457613.25951512,2457613.25907,17.114,0.066370174
1.545877549,2457613.25999508,2457613.25955,17.036,0.0594138031
1.5523488892,2457613.26047504,2457613.26003,17.44,0.0882779701
1.5589550612,2457613.260965,2457613.26052,17.294,0.0763216876
1.5654262694,2457613.26144495,2457613.261,17.301,0.0813019065
1.5720324414,2457613.26193491,2457613.26149,17.526,0.09625487
1.5785037816,2457613.26241487,2457613.26197,17.363,0.0832946577
1.5847054642,2457613.26287483,2457613.26243,17.151,0.0693541635
1.5911766725,2457613.26335478,2457613.26291,17.379,0.0862844134
1.5976480126,2457613.26383474,2457613.26339,17.208,0.0773175271
