Phase,BJD,JD,V,V_error
0.8250526558,2457817.53661866,2457817.53347,17.641,0.0290137889
0.8297721358,2457817.53696869,2457817.53382,17.534,0.0270148092
0.834491622,2457817.53731872,2457817.53417,17.643,0.0310128996
0.8390761383,2457817.53765874,2457817.53451,17.457,0.0260153782
0.8437956246,2457817.53800877,2457817.53486,17.565,0.029013788
0.8485151109,2457817.5383588,2457817.53521,17.555,0.0290137881
0.8532345909,2457817.53870883,2457817.53556,17.505,0.026015378
0.8578192453,2457817.53904886,2457817.5359,17.567,0.0270148089
0.8625385997,2457817.53939888,2457817.53625,17.581,0.0270148096
0.8672580797,2457817.53974891,2457817.5366,17.543,0.0280142804
0.871977566,2457817.54009894,2457817.53695,17.574,0.0260153781
0.8765622204,2457817.54043897,2457817.53729,17.532,0.0270148099
0.8812817067,2457817.540789,2457817.53764,17.415,0.0240166598
0.8860011867,2457817.54113903,2457817.53799,17.519,0.0280142811
0.8905857092,2457817.54147905,2457817.53833,17.554,0.0280142809
0.8953051892,2457817.54182908,2457817.53868,17.5,0.0260153783
0.9000246755,2457817.54217911,2457817.53903,17.562,0.0270148097
0.9047441618,2457817.54252914,2457817.53938,17.562,0.0270148087
0.9093288162,2457817.54286917,2457817.53972,17.539,0.0270148092
0.9140481644,2457817.54321919,2457817.54007,17.593,0.0270148097
0.9187676506,2457817.54356922,2457817.54042,17.608,0.0290137884
0.9234871306,2457817.54391925,2457817.54077,17.614,0.0280142806
0.928071785,2457817.54425928,2457817.54111,17.552,0.0260153785
0.9327912713,2457817.54460931,2457817.54146,17.569,0.0280142802
0.9375106195,2457817.54495933,2457817.54181,17.627,0.0290137881
0.9420952739,2457817.54529936,2457817.54215,17.67,0.0300133292
0.9468147602,2457817.54564939,2457817.5425,17.63,0.0280142799
0.9515342402,2457817.54599942,2457817.54285,17.643,0.0290137878
0.9562537265,2457817.54634945,2457817.5432,17.633,0.0270148091
0.9608382427,2457817.54668947,2457817.54354,17.661,0.0320124964
0.965557729,2457817.5470395,2457817.54389,17.617,0.0300133286
0.9702772153,2457817.54738953,2457817.54424,17.623,0.0300133292
0.9749966953,2457817.54773956,2457817.54459,17.634,0.0290137894
0.9795813497,2457817.54807959,2457817.54493,17.609,0.0280142803
0.984300836,2457817.54842962,2457817.54528,17.597,0.0280142802
0.9890201841,2457817.54877964,2457817.54563,17.597,0.0290137887
0.9937396704,2457817.54912967,2457817.54598,17.625,0.029013788
0.9983243248,2457817.5494697,2457817.54632,17.619,0.028014281
1.0030438111,2457817.54981973,2457817.54667,17.62,0.0270148093
1.0077632911,2457817.55016976,2457817.54702,17.638,0.0280142808
1.0123478137,2457817.55050978,2457817.54736,17.625,0.0290137884
1.0170672937,2457817.55085981,2457817.54771,17.641,0.0290137881
1.0217867799,2457817.55120984,2457817.54806,17.661,0.0300133289
1.0265062662,2457817.55155987,2457817.54841,17.659,0.0300133292
1.0310909206,2457817.5518999,2457817.54875,17.639,0.0330121174
1.0358104006,2457817.55224993,2457817.5491,17.699,0.0320124959
1.0405297551,2457817.55259995,2457817.54945,17.701,0.0330121175
1.0452492351,2457817.55294998,2457817.5498,17.703,0.0340117618
1.0498338895,2457817.55329001,2457817.55014,17.641,0.0280142802
1.0545533757,2457817.55364004,2457817.55049,17.663,0.0300133286
1.0592728557,2457817.55399007,2457817.55084,17.662,0.0290137882
1.0638573783,2457817.55433009,2457817.55118,17.597,0.0290137881
1.0685768646,2457817.55468012,2457817.55153,17.656,0.032012496
1.0732963446,2457817.55503015,2457817.55188,17.692,0.034011762
1.0780158309,2457817.55538018,2457817.55223,17.762,0.0330121178
1.0826003471,2457817.5557202,2457817.55257,17.674,0.0330121183
1.0873198334,2457817.55607023,2457817.55292,17.764,0.0320124957
1.0920393197,2457817.55642026,2457817.55327,17.697,0.0320124964
1.0967587997,2457817.55677029,2457817.55362,17.807,0.031012899
1.1013434541,2457817.55711032,2457817.55396,17.826,0.0330121174
1.1060629404,2457817.55746035,2457817.55431,17.774,0.0340117615
1.1107822885,2457817.55781037,2457817.55466,17.765,0.0340117611
1.1153669429,2457817.5581504,2457817.555,17.851,0.0360111078
1.1200864292,2457817.55850043,2457817.55535,17.865,0.0360111081
1.1248059155,2457817.55885046,2457817.5557,17.797,0.0360111075
1.1295253955,2457817.55920049,2457817.55605,17.821,0.0320124957
1.1341099181,2457817.55954051,2457817.55639,17.772,0.0330121176
1.1388293981,2457817.55989054,2457817.55674,17.813,0.0330121183
1.1435488843,2457817.56024057,2457817.55709,17.877,0.0360111079
1.1482683706,2457817.5605906,2457817.55744,17.794,0.0340117608
1.152853025,2457817.56093063,2457817.55778,17.815,0.0320124958
1.1575723732,2457817.56128065,2457817.55813,17.874,0.034011761
1.1622918595,2457817.56163068,2457817.55848,17.829,0.0350114253
1.1670113395,2457817.56198071,2457817.55883,17.885,0.0370108082
1.1715959939,2457817.56232074,2457817.55917,17.865,0.0320124961
1.1763154802,2457817.56267077,2457817.55952,17.891,0.0350114252
1.1810349602,2457817.5630208,2457817.55987,17.95,0.0380105233
1.1856194827,2457817.56336082,2457817.56021,17.757,0.0340117621
1.190338969,2457817.56371085,2457817.56056,17.911,0.039010254
1.195058449,2457817.56406088,2457817.56091,17.839,0.0340117614
1.1997779353,2457817.56441091,2457817.56126,17.792,0.0320124958
1.2043624516,2457817.56475093,2457817.5616,17.871,0.0360111083
1.2090819378,2457817.56510096,2457817.56195,17.897,0.0340117609
1.2138014241,2457817.56545099,2457817.5623,17.842,0.0320124957
1.2185209041,2457817.56580102,2457817.56265,17.841,0.0340117614
1.2231055585,2457817.56614105,2457817.56299,17.872,0.0360111081
1.227824913,2457817.56649107,2457817.56334,17.828,0.0320124966
1.232544393,2457817.5668411,2457817.56369,17.795,0.0340117613
1.2371290474,2457817.56718113,2457817.56403,17.874,0.038010524
1.2418485336,2457817.56753116,2457817.56438,17.895,0.0340117612
1.2465680199,2457817.56788119,2457817.56473,17.915,0.0370108084
1.2512874999,2457817.56823122,2457817.56508,17.855,0.035011425
1.2558720225,2457817.56857124,2457817.56542,17.8,0.0330121176
1.2605915025,2457817.56892127,2457817.56577,17.834,0.0340117615
1.2653109888,2457817.5692713,2457817.56612,17.751,0.0310128991
1.270030475,2457817.56962133,2457817.56647,17.882,0.0330121176
1.2746151294,2457817.56996136,2457817.56681,17.878,0.0320124961
1.2793344776,2457817.57031138,2457817.56716,17.878,0.0360111078
1.2840539639,2457817.57066141,2457817.56751,17.691,0.0290137882
1.288638612,2457817.57100144,2457817.56785,17.853,0.0340117614
1.2933580983,2457817.57135147,2457817.5682,17.882,0.0330121173
1.2980774464,2457817.57170149,2457817.56855,17.822,0.0330121174
1.3027969327,2457817.57205152,2457817.5689,17.852,0.0340117614
1.3073815871,2457817.57239155,2457817.56924,17.857,0.035011426
1.3121010734,2457817.57274158,2457817.56959,17.78,0.0320124958
1.3168205534,2457817.57309161,2457817.56994,17.846,0.0340117613
1.3215400397,2457817.57344164,2457817.57029,17.807,0.0320124958
1.326124556,2457817.57378166,2457817.57063,17.834,0.0330121175
